Run,BioSample,BioProject,Source,Location,Lat,Lon,Env,MHET_Abundance
ERR10509551,NA,NA,NA,NA,NA,NA,freshwater,1.730076649
ERR10509552,NA,NA,NA,NA,48.6189,14.6731,freshwater,5.25498038
ERR10509553,NA,NA,NA,NA,48.6189,14.6731,freshwater,5.26855565
ERR10509554,NA,NA,NA,NA,48.6189,14.6731,freshwater,2.515554199
ERR10509555,NA,NA,NA,NA,48.6189,14.6731,freshwater,3.912553529
ERR10509556,NA,NA,NA,NA,48.6189,14.6731,freshwater,2.831987816
ERR10509557,NA,NA,NA,NA,48.6189,14.6731,freshwater,3.659126275
ERR10509558,NA,NA,NA,NA,NA,NA,freshwater,0.800220751
ERR10509559,NA,NA,NA,NA,48.6189,14.6731,freshwater,2.42271696
ERR1346484,SAMEA3914649,PRJEB13255,soil metagenome,Czech Republic,48.99,14.16,landfill,5.535714286
ERR1346528,SAMEA3914723,PRJEB13255,soil metagenome,Czech Republic,48.99,14.16,landfill,6.813909774
ERR1846294,NA,NA,NA,NA,NA,NA,hotspring,13.46310068
ERR1846295,NA,NA,NA,NA,NA,NA,hotspring,1.130759955
ERR2767288,NA,NA,NA,NA,NA,NA,wetland,8.454019482
ERR2767289,SAMEA4877250,PRJEB28446,soil metagenome,USA,42.430868,-76.23032445,wetland,14.23835044
ERR2767290,NA,NA,NA,NA,NA,NA,wetland,13.73192951
ERR2828449,NA,NA,NA,NA,NA,NA,petroleum,4.134800095
ERR2828450,SAMEA4960279,PRJEB29075,metagenome,China,39.1,117.1,petroleum,108.1951069
ERR3597756,SAMEA6087711,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,453.5087719
ERR3597764,SAMEA6087713,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,13.87362637
ERR3597765,SAMEA6087713,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,13.80952381
ERR3597766,SAMEA6087713,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,11.2244898
ERR3597767,SAMEA6087713,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,12.67507003
ERR3597788,SAMEA6087719,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,180.3571429
ERR3609896,SAMEA6087711,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,453.5087719
ERR3609904,SAMEA6087713,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,13.87362637
ERR3609905,SAMEA6087713,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,13.80952381
ERR3609906,SAMEA6087713,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,11.2244898
ERR3609907,SAMEA6087713,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,12.67507003
ERR3609928,SAMEA6087719,PRJEB30924,Caenorhabditis elegans,Germany,54.3491,10.11505,compost,180.3571429
ERR4298338,NA,NA,NA,NA,NA,NA,bog,2.285191956
ERR5002007,SAMEA7723490,PRJEB42019,marine sediment metagenome,"Atlantic Ocean:Northeast Atlantic Ocean,Iberian Abyssal Plain",46.68323333,-11.6042,marinesediment,1.982029598
ERR5003101,SAMEA7723425,PRJEB42019,marine sediment metagenome,"Pacific Ocean:Northwest Pacific Ocean,Northern Mariana Islands",-15.24747,145.7393,marinesediment,3.914141414
ERR5003102,SAMEA7723426,PRJEB42019,marine sediment metagenome,"Pacific Ocean:Northwest Pacific Ocean,Northern Mariana Islands",-14.98897,145.6018,marinesediment,2.212851238
ERR5004402,SAMEA7723399,PRJEB42019,marine sediment metagenome,"USA: Commonwealth of Massachusetts,Plum Island",-42.72228,-70.846648,marinesediment,3.265306122
ERR5004404,SAMEA7723873,PRJEB42019,marine sediment metagenome,"USA: Commonwealth of Massachusetts,Plum Island",42.739897,-70.83609,marinesediment,2.65095729
ERR5004405,SAMEA7723400,PRJEB42019,marine sediment metagenome,"USA: Commonwealth of Massachusetts,Plum Island",-42.74229,-70.826692,marinesediment,1.709027169
ERR5004406,SAMEA7723401,PRJEB42019,marine sediment metagenome,"USA: Commonwealth of Massachusetts,Plum Island",-42.7399,-70.83609,marinesediment,3.020694259
ERR5004407,SAMEA7723402,PRJEB42019,marine sediment metagenome,"USA: Commonwealth of Massachusetts,Plum Island",-42.72228,-70.846648,marinesediment,5.338799947
ERR5749939,SAMEA8585534,PRJEB44414,soil metagenome,Romania,47.2591,25.3574,bog,1.365747064
ERR5749940,SAMEA8585535,PRJEB44414,soil metagenome,Romania,47.2591,25.3574,bog,5.029522519
ERR5749942,SAMEA8585536,PRJEB44414,soil metagenome,Romania,47.2591,25.3574,bog,1.825341667
ERR5749943,SAMEA8585537,PRJEB44414,soil metagenome,Romania,47.2591,25.3574,bog,2.492634073
ERR5750921,SAMEA8585546,PRJEB44414,soil metagenome,Canada,45.1189,-74.2039,bog,1.442973362
ERR5750978,SAMEA8585548,PRJEB44414,soil metagenome,Canada,45.1189,-74.2039,bog,1.676030815
ERR5753969,SAMEA8585578,PRJEB44414,soil metagenome,Russia,60.88,68.7,bog,6.893687708
ERR5756920,SAMEA8585587,PRJEB44414,soil metagenome,France,47.32,2.23,bog,4.474520094
ERR5756921,SAMEA8585588,PRJEB44414,soil metagenome,France,47.32,2.23,bog,3.017002184
ERR5757773,SAMEA8585603,PRJEB44414,soil metagenome,Australia,-42.1744,146.5762,bog,1.395604877
ERR5757922,SAMEA8585609,PRJEB44414,soil metagenome,Romania,47.2591,25.3574,bog,2.938616296
ERR5757923,SAMEA8585610,PRJEB44414,soil metagenome,Romania,47.2591,25.3574,bog,0.375317279
ERR5757926,SAMEA8585612,PRJEB44414,soil metagenome,Romania,47.2591,25.3574,bog,0.912419357
ERR5758132,SAMEA8585613,PRJEB44414,soil metagenome,Romania,47.2591,25.3574,bog,0.491072568
ERR5758133,SAMEA8585614,PRJEB44414,soil metagenome,Romania,47.2591,25.3574,bog,2.278561721
ERR5761597,SAMEA8585618,PRJEB44414,soil metagenome,Spain,42.6282,0.7607,bog,3.397050023
ERR5762199,SAMEA8585619,PRJEB44414,soil metagenome,Spain,42.6282,0.7607,bog,1.284550753
ERR5762200,SAMEA8585620,PRJEB44414,soil metagenome,Spain,42.6282,0.7607,bog,5.48245614
