Run,Env,MHET_Abundance
SRR21120503,wetland,16.64630183
ERR2767289,wetland,14.23835044
ERR2767290,wetland,13.73192951
SRR17651689,wetland,10.08373783
ERR2767288,wetland,8.454019482
SRR10968156,wetland,7.605594703
SRR12418379,wetland,6.738908192
SRR10968278,wetland,6.700232657
SRR10968277,wetland,6.026906526
SRR10968155,wetland,5.89078655
SRR14454006,wetland,5.74212381
SRR20746686,wetland,5.66751415
SRR10968276,wetland,5.581976113
SRR23315097,wetland,5.366124388
SRR5246785,wetland,5.229950795
SRR5246787,wetland,5.229950795
SRR5817586,wetland,5.092859976
SRR20746698,wetland,5.011117381
SRR14454024,wetland,4.658898388
SRR10968271,wetland,4.638966855
SRR20746692,wetland,4.626697304
SRR10968158,wetland,4.535901107
SRR10968272,wetland,4.522831581
SRR5817585,wetland,4.298051661
SRR9691025,wetland,4.29138832
SRR17401461,wetland,4.240549808
SRR10968151,wetland,4.200691745
SRR20746678,wetland,4.006588482
SRR19666934,wetland,3.922910888
SRR9691040,wetland,3.866692516
SRR10968281,wetland,3.862889898
SRR14454025,wetland,3.842356546
SRR6047969,wetland,3.789434332
SRR20746694,wetland,3.776316236
SRR14454012,wetland,3.772857832
SRR10968219,wetland,3.648774509
SRR5494301,wetland,3.535561797
SRR10968224,wetland,3.471194449
SRR10968279,wetland,3.419820997
SRR19666935,wetland,3.388716881
SRR9691034,wetland,3.383707315
SRR10968273,wetland,3.293984184
SRR14454017,wetland,3.290801322
SRR11837302,wetland,3.271508715
SRR14454003,wetland,3.267938435
SRR18694247,wetland,3.240949276
SRR7500465,wetland,3.229890172
SRR14454002,wetland,3.171482506
SRR23315095,wetland,3.144820398
SRR18694248,wetland,3.12034939
SRR10968280,wetland,3.104335739
SRR18694237,wetland,3.087812273
SRR5246791,wetland,3.044915879
SRR17401462,wetland,3.038522485
SRR5817587,wetland,3.02264132
SRR9691039,wetland,3.007725573
SRR18694240,wetland,3.003824102
SRR18694236,wetland,2.998115187
SRR9691060,wetland,2.958729676
SRR18694249,wetland,2.955537841
SRR15495778,wetland,2.904444425
SRR9691031,wetland,2.81637573
SRR18694243,wetland,2.81248816
SRR7500322,wetland,2.7920434
SRR10968153,wetland,2.778589574
SRR14454020,wetland,2.749199489
SRR14454011,wetland,2.745165144
SRR19666933,wetland,2.724328173
SRR11734634,wetland,2.718105818
SRR23315093,wetland,2.714249478
SRR18694233,wetland,2.666755794
SRR10968222,wetland,2.650793165
SRR17401464,wetland,2.625835265
SRR15400728,wetland,2.613819952
SRR19666937,wetland,2.57226739
SRR14454016,wetland,2.56868668
SRR20746690,wetland,2.536400793
SRR23315099,wetland,2.498813542
SRR18694235,wetland,2.484768498
SRR11837712,wetland,2.466353486
SRR18694234,wetland,2.463562894
SRR11734633,wetland,2.456556879
SRR14454007,wetland,2.448713167
SRR9691057,wetland,2.447402243
SRR11837213,wetland,2.411254273
SRR19666938,wetland,2.410188844
SRR11837737,wetland,2.408118269
SRR18694239,wetland,2.400170653
SRR23315096,wetland,2.397502573
SRR18694246,wetland,2.39052168
SRR19666940,wetland,2.381527228
