Run,Env,PET_Abundance.x,MHET_Abundance.x,Bioproject,Biosample,Source,Location,Latitude,Longtitude
ERR10509552,freshwater,0.194409302,5.25498038,PRJNA429145,,,,48.6189,14.6731
ERR10509553,freshwater,0.175099461,5.26855565,PRJNA429145,,,,48.6189,14.6731
ERR10509554,freshwater,0.427809968,2.515554199,PRJNA429145,,,,48.6189,14.6731
ERR10509555,freshwater,0.526180637,3.912553529,PRJNA429145,,,,48.6189,14.6731
ERR10509556,freshwater,0.79802681,2.831987816,PRJNA429145,,,,48.6189,14.6731
ERR10509557,freshwater,0.807123971,3.659126275,PRJNA429145,,,,48.6189,14.6731
ERR10509559,freshwater,0.028502552,2.42271696,PRJNA429145,,,,48.6189,14.6731
ERR1846294,hotspring,1.214872911,13.46310068,PRJEB19501,SAMEA94257418,hot springs metagenome,"	India",32.026333,77.347306
ERR1846295,hotspring,4.711313424,1.130759955,PRJEB19501,SAMEA94258168,hot springs metagenome,"	India",32.026333,77.347306
ERR2767288,wetland,1.412105485,8.454019482,PRJEB28446,SAMEA4877249,soil metagenome,USA,42.430868,-76.23032445
ERR2767290,wetland,5.689042026,13.73192951,PRJEB28446,SAMEA4877251,soil metagenome,USA,42.430868,-76.23032445
ERR2828449,petroleum,0.856107234,4.134800095,PRJEB29075,SAMEA4960278,metagenome,China,39.1,117.1
ERR5002007,marinesediment,7.326314027,1.982029598,PRJEB42019,SAMEA7723490,marine sediment metagenome,"Atlantic Ocean:Northeast Atlantic Ocean,Iberian Abyssal Plain",46.68323333,-11.6042
ERR5004404,marinesediment,6.18556701,2.65095729,PRJEB42019,SAMEA7723873,marine sediment metagenome,"USA: Commonwealth of Massachusetts,Plum Island",42.739897,-70.83609
ERR5750978,bog,0.355173876,1.676030815,PRJEB44414,SAMEA8585548,soil metagenome,Canada,45.1189,-74.2039
ERR5757773,bog,0.975609756,1.395604877,PRJEB44414,SAMEA8585603,soil metagenome,Australia,-42.1744,146.5762
