Run,Env,PET_Abundance
SRR11086757,landfill,235.1348487
SRR11086756,landfill,228.7568322
SRR17204925,landfill,75.35209748
SRR17204942,landfill,72.80268563
SRR7082980,landfill,63.73151372
SRR17204920,landfill,62.03097148
SRR17204922,landfill,59.13968561
SRR7082979,landfill,47.41904299
SRR17204943,landfill,41.4219193
SRR23913137,landfill,36.85349728
SRR17204948,landfill,36.54074554
SRR17204935,landfill,34.17326859
SRR17204926,landfill,33.87164721
SRR17204941,landfill,33.66495289
SRR17204944,landfill,33.18969324
SRR17204936,landfill,32.07247487
SRR17204946,landfill,32.02786772
SRR17204924,landfill,31.24201093
SRR17204945,landfill,29.83734582
SRR23913138,landfill,29.03443284
SRR17204932,landfill,26.94538889
SRR23913139,landfill,24.89273612
SRR17204947,landfill,23.57174661
SRR17204949,landfill,22.77180138
SRR9166127,landfill,18.92662595
SRR17204940,landfill,18.87025203
SRR7082967,landfill,18.50036049
SRR7082971,landfill,18.10481406
SRR6689519,landfill,17.98087967
SRR9166107,landfill,17.59829424
SRR7082968,landfill,17.43267008
SRR10363853,landfill,17.14832869
SRR9166104,landfill,16.55780252
SRR9166121,landfill,16.16030058
SRR9166124,landfill,14.8892113
SRR10363844,landfill,14.35613934
SRR12481290,landfill,13.60203932
SRR10363845,landfill,12.59027811
SRR9166119,landfill,12.38842526
SRR9166108,landfill,11.84615385
SRR9166122,landfill,11.66363164
SRR10363846,landfill,11.59236733
SRR9166123,landfill,11.32749703
SRR10363852,landfill,10.8517575
SRR7082981,landfill,10.78607361
SRR9166109,landfill,10.35141049
SRR17204937,landfill,10.17871242
SRR7082974,landfill,9.491349124
SRR9166118,landfill,9.410419169
SRR9166120,landfill,8.980631726
SRR10363842,landfill,8.833265138
SRR17204931,landfill,8.230753633
SRR11516667,landfill,8.184060969
SRR9166125,landfill,8.173747046
SRR22269685,landfill,7.928813539
SRR6689526,landfill,7.642049174
SRR17204927,landfill,7.28211053
SRR10363840,landfill,7.25164646
SRR17204934,landfill,6.387084741
SRR10363849,landfill,6.220970397
SRR9166126,landfill,6.13210385
SRR10363843,landfill,6.032566557
SRR10363847,landfill,6.025723302
SRR10363851,landfill,5.566063041
SRR19039921,landfill,5.150756261
SRR10363839,landfill,5.069599816
SRR11516666,landfill,5.020775623
SRR10363841,landfill,4.849862562
SRR7082982,landfill,4.81801006
SRR17204938,landfill,4.812112797
SRR19039924,landfill,4.641622021
SRR19039920,landfill,4.496770869
SRR19039922,landfill,4.406837851
SRR23913140,landfill,4.38311193
SRR7082972,landfill,4.316245817
SRR11516662,landfill,4.155980892
SRR7082973,landfill,4.067222512
SRR19039923,landfill,4.066445369
SRR10363848,landfill,3.845429806
SRR19039919,landfill,3.763613904
SRR17204928,landfill,3.328240055
SRR6484323,landfill,3.305426244
SRR17204933,landfill,3.292679978
SRR11516665,landfill,3.169811321
SRR7082975,landfill,2.908384512
SRR11516663,landfill,2.894591992
SRR17204939,landfill,2.887446531
SRR21836767,landfill,2.797897962
SRR7082976,landfill,2.708149049
SRR23913141,landfill,2.646327905
SRR12481289,landfill,2.604241573
SRR7082978,landfill,2.333604294
SRR17204923,landfill,2.293147836
SRR8449813,landfill,2.036327076
SRR10363850,landfill,1.996844966
SRR7082984,landfill,1.976255547
SRR12481295,landfill,1.941820283
SRR7299214,landfill,1.854848551
SRR23913145,landfill,1.769432672
SRR12481294,landfill,1.739147718
SRR17204930,landfill,1.698239714
SRR23913142,landfill,1.619194552
SRR11516664,landfill,1.4103804
SRR17204929,landfill,1.244255643
SRR23913143,landfill,1.238353529
SRR7082965,landfill,0.949927812
SRR12481292,landfill,0.732845107
SRR7082966,landfill,0.448973262
SRR23913144,landfill,0.416457643
SRR6485349,landfill,0.316123461
SRR22315504,landfill,0.296266003
SRR18595301,landfill,0.233271128
SRR8449814,landfill,0.203440598
SRR18595299,landfill,0.189525129
SRR22315507,landfill,0.134494228
SRR22315505,landfill,0.108492441
SRR8542065,landfill,0.098314607
SRR6484325,landfill,0.07225998
SRR22315506,landfill,0.057423801
SRR6484324,landfill,0.054922218
SRR22315509,landfill,0.052951445
SRR22315503,landfill,0.047280965
SRR22315501,landfill,0.038430085
SRR20746697,wetland,31.21116627
SRR20746693,wetland,30.74257592
SRR23274337,wetland,26.40510335
SRR20746695,wetland,21.50340471
