Run,BioProject,BioSample,Source
ERR5766915,PRJEB44414,SAMEA8585715,soil metagenome
ERR5766914,PRJEB44414,SAMEA8585714,soil metagenome
ERR5766676,PRJEB44414,SAMEA8585693,soil metagenome
ERR5766674,PRJEB44414,SAMEA8585692,soil metagenome
ERR5766673,PRJEB44414,SAMEA8585691,soil metagenome
ERR5766672,PRJEB44414,SAMEA8585690,soil metagenome
ERR5766671,PRJEB44414,SAMEA8585689,soil metagenome
ERR5766670,PRJEB44414,SAMEA8585688,soil metagenome
ERR5762236,PRJEB44414,SAMEA8585650,soil metagenome
ERR5762234,PRJEB44414,SAMEA8585649,soil metagenome
ERR5762230,PRJEB44414,SAMEA8585648,soil metagenome
ERR5762228,PRJEB44414,SAMEA8585647,soil metagenome
ERR5762226,PRJEB44414,SAMEA8585646,soil metagenome
ERR5762216,PRJEB44414,SAMEA8585636,soil metagenome
ERR5762215,PRJEB44414,SAMEA8585635,soil metagenome
ERR5762214,PRJEB44414,SAMEA8585634,soil metagenome
ERR5762213,PRJEB44414,SAMEA8585633,soil metagenome
ERR5762212,PRJEB44414,SAMEA8585632,soil metagenome
ERR5762206,PRJEB44414,SAMEA8585626,soil metagenome
ERR5762205,PRJEB44414,SAMEA8585625,soil metagenome
ERR5762204,PRJEB44414,SAMEA8585624,soil metagenome
ERR5762203,PRJEB44414,SAMEA8585623,soil metagenome
ERR5762200,PRJEB44414,SAMEA8585620,soil metagenome
ERR5762199,PRJEB44414,SAMEA8585619,soil metagenome
ERR5761597,PRJEB44414,SAMEA8585618,soil metagenome
ERR5758133,PRJEB44414,SAMEA8585614,soil metagenome
ERR5758132,PRJEB44414,SAMEA8585613,soil metagenome
ERR5757926,PRJEB44414,SAMEA8585612,soil metagenome
ERR5757924,PRJEB44414,SAMEA8585611,soil metagenome
ERR5757923,PRJEB44414,SAMEA8585610,soil metagenome
ERR5757922,PRJEB44414,SAMEA8585609,soil metagenome
ERR5757776,PRJEB44414,SAMEA8585604,soil metagenome
ERR5757773,PRJEB44414,SAMEA8585603,soil metagenome
ERR5757737,PRJEB44414,SAMEA8585602,soil metagenome
ERR5757698,PRJEB44414,SAMEA8585598,soil metagenome
ERR5757697,PRJEB44414,SAMEA8585597,soil metagenome
ERR5757696,PRJEB44414,SAMEA8585596,soil metagenome
ERR5756921,PRJEB44414,SAMEA8585588,soil metagenome
ERR5756920,PRJEB44414,SAMEA8585587,soil metagenome
ERR5754036,PRJEB44414,SAMEA8585584,soil metagenome
ERR5754029,PRJEB44414,SAMEA8585583,soil metagenome
ERR5754023,PRJEB44414,SAMEA8585582,soil metagenome
ERR5754020,PRJEB44414,SAMEA8585581,soil metagenome
ERR5754007,PRJEB44414,SAMEA8585580,soil metagenome
ERR5754004,PRJEB44414,SAMEA8585579,soil metagenome
ERR5753969,PRJEB44414,SAMEA8585578,soil metagenome
ERR5753381,PRJEB44414,SAMEA8585568,soil metagenome
ERR5753375,PRJEB44414,SAMEA8585567,soil metagenome
ERR5750978,PRJEB44414,SAMEA8585548,soil metagenome
ERR5750922,PRJEB44414,SAMEA8585547,soil metagenome
ERR5750921,PRJEB44414,SAMEA8585546,soil metagenome
ERR5750510,PRJEB44414,SAMEA8585539,soil metagenome
ERR5749944,PRJEB44414,SAMEA8585538,soil metagenome
ERR5749943,PRJEB44414,SAMEA8585537,soil metagenome
ERR5749942,PRJEB44414,SAMEA8585536,soil metagenome
ERR5749940,PRJEB44414,SAMEA8585535,soil metagenome
ERR5749939,PRJEB44414,SAMEA8585534,soil metagenome
SRR16235685,PRJNA769424,SAMN22133373,soil metagenome
SRR16235686,PRJNA769424,SAMN22133373,soil metagenome
SRR5277367,PRJNA365730,SAMN06267852,soil metagenome
SRR5271170,PRJNA365853,SAMN06267850,soil metagenome
SRR5271169,PRJNA365729,SAMN06267851,soil metagenome
SRR5271168,PRJNA365852,SAMN06267849,soil metagenome
SRR5271167,PRJNA365851,SAMN06267848,soil metagenome
SRR5271166,PRJNA365849,SAMN06267846,soil metagenome
SRR5271165,PRJNA365848,SAMN06267845,soil metagenome
SRR5271163,PRJNA365850,SAMN06267847,soil metagenome
SRR5271157,PRJNA365847,SAMN06267844,soil metagenome
SRR5271156,PRJNA365845,SAMN06267842,soil metagenome
SRR5271155,PRJNA365846,SAMN06267843,soil metagenome
SRR5271154,PRJNA365844,SAMN06267841,soil metagenome
SRR5208337,PRJNA365562,SAMN06266323,soil metagenome
SRR5208283,PRJNA365561,SAMN06266322,soil metagenome
SRR5208282,PRJNA365560,SAMN06264539,soil metagenome
SRR1765858,PRJNA222786,SAMN02376732,soil metagenome
SRR1157615,PRJNA221719,SAMN02364455,soil metagenome
SRR1157614,PRJNA221719,SAMN02364454,soil metagenome
SRR1157609,PRJNA221719,SAMN02364458,soil metagenome
SRR1010317,PRJNA215012,SAMN02316117,soil metagenome
ERR4298338,PRJEB39100,SAMEA7020035,plant metagenome
SRR6960541,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960542,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960543,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960544,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960545,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960546,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960547,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960548,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6505091,PRJNA406796,SAMN07631792,permafrost metagenome
SRR6491179,PRJNA406794,SAMN07631790,permafrost metagenome
SRR6490523,PRJNA406793,SAMN07631789,permafrost metagenome
SRR6490520,PRJNA406792,SAMN07631788,permafrost metagenome
SRR23247659,PRJNA386568,SAMN32901078,peat metagenome
SRR23247659,PRJNA386568,SAMN32901078,peat metagenome
SRR23247660,PRJNA386568,SAMN32901077,peat metagenome
SRR23247661,PRJNA386568,SAMN32901076,peat metagenome
SRR23247662,PRJNA386568,SAMN32901075,peat metagenome
SRR23247663,PRJNA386568,SAMN32901074,peat metagenome
SRR23247664,PRJNA386568,SAMN32901073,peat metagenome
SRR23247665,PRJNA386568,SAMN32901072,peat metagenome
SRR23247666,PRJNA386568,SAMN32901071,peat metagenome
SRR23247667,PRJNA386568,SAMN32901070,peat metagenome
SRR23247668,PRJNA386568,SAMN32901069,peat metagenome
SRR23247684,PRJNA386568,SAMN32901029,peat metagenome
SRR23247693,PRJNA386568,SAMN32901021,peat metagenome
SRR23247694,PRJNA386568,SAMN32901020,peat metagenome
SRR23247695,PRJNA386568,SAMN32901019,peat metagenome
SRR23247697,PRJNA386568,SAMN32901018,peat metagenome
SRR23247698,PRJNA386568,SAMN32901017,peat metagenome
SRR23247699,PRJNA386568,SAMN32901016,peat metagenome
SRR23247700,PRJNA386568,SAMN32901015,peat metagenome
SRR23247701,PRJNA386568,SAMN32901014,peat metagenome
SRR23247702,PRJNA386568,SAMN32901013,peat metagenome
SRR23247703,PRJNA386568,SAMN32901012,peat metagenome
SRR23247704,PRJNA386568,SAMN32901011,peat metagenome
SRR23247705,PRJNA386568,SAMN32901010,peat metagenome
SRR23247706,PRJNA386568,SAMN32901009,peat metagenome
SRR23247708,PRJNA386568,SAMN32901008,peat metagenome
SRR23247724,PRJNA386568,SAMN32901044,peat metagenome
SRR23247725,PRJNA386568,SAMN32901043,peat metagenome
SRR23247726,PRJNA386568,SAMN32901042,peat metagenome
SRR23247727,PRJNA386568,SAMN32901041,peat metagenome
SRR23247728,PRJNA386568,SAMN32901040,peat metagenome
SRR23247729,PRJNA386568,SAMN32901039,peat metagenome
SRR23247731,PRJNA386568,SAMN32901038,peat metagenome
SRR23247732,PRJNA386568,SAMN32901037,peat metagenome
SRR23247733,PRJNA386568,SAMN32901036,peat metagenome
SRR23247734,PRJNA386568,SAMN32901035,peat metagenome
SRR23247735,PRJNA386568,SAMN32901034,peat metagenome
SRR23247736,PRJNA386568,SAMN32901033,peat metagenome
SRR23247737,PRJNA386568,SAMN32901032,peat metagenome
SRR23247738,PRJNA386568,SAMN32901031,peat metagenome
SRR23247739,PRJNA386568,SAMN32901030,peat metagenome
SRR23247753,PRJNA386568,SAMN32901116,peat metagenome
SRR23247754,PRJNA386568,SAMN32901115,peat metagenome
SRR23247755,PRJNA386568,SAMN32901114,peat metagenome
SRR23247756,PRJNA386568,SAMN32901113,peat metagenome
SRR23247757,PRJNA386568,SAMN32901112,peat metagenome
SRR23247758,PRJNA386568,SAMN32901111,peat metagenome
SRR23247759,PRJNA386568,SAMN32901110,peat metagenome
SRR23247761,PRJNA386568,SAMN32901109,peat metagenome
SRR23247762,PRJNA386568,SAMN32901108,peat metagenome
SRR23247763,PRJNA386568,SAMN32901107,peat metagenome
SRR23247764,PRJNA386568,SAMN32901106,peat metagenome
SRR23247765,PRJNA386568,SAMN32901105,peat metagenome
SRR23247791,PRJNA386568,SAMN32901080,peat metagenome
SRR23247792,PRJNA386568,SAMN32901079,peat metagenome
SRR13557791,PRJNA695060,SAMN17600081,peat metagenome
SRR13557793,PRJNA695060,SAMN17600062,peat metagenome
SRR13557795,PRJNA695060,SAMN17600041,peat metagenome
SRR11668419,PRJNA621652,SAMN14515559,peat metagenome
SRR11668400,PRJNA621651,SAMN14515648,peat metagenome
SRR11668386,PRJNA621650,SAMN14515341,peat metagenome
SRR11070432,PRJNA567020,SAMN12794184,peat metagenome
SRR10968283,PRJNA566922,SAMN12794269,peat metagenome
SRR10968282,PRJNA566921,SAMN12794267,peat metagenome
SRR10968218,PRJNA567023,SAMN12794181,peat metagenome
SRR10968162,PRJNA567021,SAMN12794268,peat metagenome
SRR10968150,PRJNA567118,SAMN12794185,peat metagenome
SRR10873275,PRJNA566936,SAMN12794096,peat metagenome
SRR10873274,PRJNA566935,SAMN12794338,peat metagenome
SRR10873268,PRJNA566937,SAMN12793973,peat metagenome
SRR10873265,PRJNA568277,SAMN12794949,peat metagenome
SRR10873211,PRJNA566934,SAMN12793949,peat metagenome
SRR9711196,PRJNA539175,SAMN11532137,peat metagenome
SRR9711195,PRJNA539174,SAMN11532580,peat metagenome
SRR6996009,PRJNA445426,SAMN08784152,peat metagenome
SRR6996010,PRJNA445426,SAMN08784154,peat metagenome
SRR6996011,PRJNA445426,SAMN08784153,peat metagenome
SRR6307338,PRJNA419081,SAMN08042462,peat metagenome
SRR6307339,PRJNA419081,SAMN08042462,peat metagenome
SRR5440535,PRJNA382698,SAMN06712534,peat metagenome
SRR5440534,PRJNA382698,SAMN06712535,peat metagenome
SRR5440533,PRJNA382698,SAMN06712536,peat metagenome
SRR5440532,PRJNA382698,SAMN06712537,peat metagenome
SRR5440531,PRJNA382698,SAMN06712538,peat metagenome
SRR5440530,PRJNA382698,SAMN06712539,peat metagenome
SRR5440529,PRJNA382698,SAMN06712540,peat metagenome
ERR9963795,PRJEB54621,SAMEA110295449,moss metagenome
ERR9963794,PRJEB54621,SAMEA110295448,moss metagenome
ERR9963793,PRJEB54621,SAMEA110295447,moss metagenome
ERR9963792,PRJEB54621,SAMEA110295446,moss metagenome
ERR9963791,PRJEB54621,SAMEA110295445,moss metagenome
ERR9963790,PRJEB54621,SAMEA110295444,moss metagenome
ERR9963789,PRJEB54621,SAMEA110295443,moss metagenome
ERR9963788,PRJEB54621,SAMEA110295442,moss metagenome
ERR9963787,PRJEB54621,SAMEA110295441,moss metagenome
ERR9963786,PRJEB54621,SAMEA110295440,moss metagenome
ERR9963785,PRJEB54621,SAMEA110295439,moss metagenome
ERR9963784,PRJEB54621,SAMEA110295438,moss metagenome
ERR9963783,PRJEB54621,SAMEA110295437,moss metagenome
ERR9963782,PRJEB54621,SAMEA110295436,moss metagenome
ERR9963781,PRJEB54621,SAMEA110295435,moss metagenome
ERR9963780,PRJEB54621,SAMEA110295434,moss metagenome
ERR9963779,PRJEB54621,SAMEA110295433,moss metagenome
ERR9963778,PRJEB54621,SAMEA110295432,moss metagenome
ERR9963777,PRJEB54621,SAMEA110295431,moss metagenome
ERR9963776,PRJEB54621,SAMEA110295430,moss metagenome
ERR9963775,PRJEB54621,SAMEA110295429,moss metagenome
ERR9963774,PRJEB54621,SAMEA110295428,moss metagenome
ERR9963773,PRJEB54621,SAMEA110295427,moss metagenome
ERR9963772,PRJEB54621,SAMEA110295426,moss metagenome
ERR9963771,PRJEB54621,SAMEA110295425,moss metagenome
ERR9963770,PRJEB54621,SAMEA110295424,moss metagenome
ERR9963769,PRJEB54621,SAMEA110295423,moss metagenome
ERR9963768,PRJEB54621,SAMEA110295422,moss metagenome
ERR9963767,PRJEB54621,SAMEA110295421,moss metagenome
ERR9963766,PRJEB54621,SAMEA110295420,moss metagenome
ERR9963765,PRJEB54621,SAMEA110295419,moss metagenome
ERR9963764,PRJEB54621,SAMEA110295418,moss metagenome
ERR9963763,PRJEB54621,SAMEA110295417,moss metagenome
ERR9963762,PRJEB54621,SAMEA110295416,moss metagenome
ERR9963761,PRJEB54621,SAMEA110295415,moss metagenome
ERR9963760,PRJEB54621,SAMEA110295414,moss metagenome
ERR9963759,PRJEB54621,SAMEA110295413,moss metagenome
ERR9963758,PRJEB54621,SAMEA110295412,moss metagenome
ERR9963757,PRJEB54621,SAMEA110295411,moss metagenome
ERR9963756,PRJEB54621,SAMEA110295410,moss metagenome
ERR9963755,PRJEB54621,SAMEA110295409,moss metagenome
ERR9963754,PRJEB54621,SAMEA110295408,moss metagenome
ERR9963753,PRJEB54621,SAMEA110295407,moss metagenome
