Run	OUT_Run
SRR10127267	SRR10127267_land_Abundance
SRR14865845	SRR14865845_aqua_Abundance
SRR23684538	SRR23684538_aqua_Abundance
SRR8543787	SRR8543787_land_Not
SRR11582154	SRR11582154_aqua_Not
SRR22703647	SRR22703647_land_Abundance
SRR15530473	SRR15530473_aqua_Abundance
SRR24044293	SRR24044293_land_Abundance
SRR23684565	SRR23684565_aqua_Abundance
SRR20079019	SRR20079019_land_Abundance
SRR13200009	SRR13200009_aqua_Not
SRR14458749	SRR14458749_land_Abundance
SRR16156427	SRR16156427_aqua_Not
SRR3087219	SRR3087219_land_Not
SRR6056339	SRR6056339_land_Not
SRR23315093	SRR23315093_aqua_Abundance
SRR20241980	SRR20241980_aqua_Abundance
SRR14511928	SRR14511928_aqua_Abundance
SRR23247664	SRR23247664_land_Not
SRR6056336	SRR6056336_land_Abundance
SRR12887237	SRR12887237_aqua_Not
SRR5208337	SRR5208337_land_Not
SRR17204941	SRR17204941_land_Abundance
SRR16915455	SRR16915455_land_Abundance
SRR6960547	SRR6960547_land_Not
SRR18064553	SRR18064553_aqua_Not
SRR5278472	SRR5278472_land_Not
SRR2407943	SRR2407943_aqua_Not
SRR9691031	SRR9691031_aqua_Abundance
SRR17710023	SRR17710023_land_Abundance
SRR5626795	SRR5626795_land_Not
SRR7976146	SRR7976146_land_Abundance
SRR1006324	SRR1006324_aqua_Not
SRR11734634	SRR11734634_aqua_Abundance
SRR13153441	SRR13153441_aqua_Abundance
ERR3597775	ERR3597775_land_Not
SRR23318462	SRR23318462_aqua_Not
DRR22608	DRR22608_aqua_Not
SRR20241764	SRR20241764_aqua_Abundance
SRR5246790	SRR5246790_aqua_Abundance
SRR17041405	SRR17041405_land_Not
SRR11837390	SRR11837390_aqua_Abundance
SRR9691035	SRR9691035_aqua_Abundance
SRR5494540	SRR5494540_aqua_Abundance
SRR10018916	SRR10018916_aqua_Not
SRR9166113	SRR9166113_land_Not
SRR10095342	SRR10095342_aqua_Not
SRR24079433	SRR24079433_aqua_Abundance
SRR15646757	SRR15646757_land_Abundance
SRR13882931	SRR13882931_land_Not
ERR3403598	ERR3403598_aqua_Not
SRR16156437	SRR16156437_aqua_Not
SRR6053206	SRR6053206_land_Not
SRR22703656	SRR22703656_land_Abundance
SRR17041394	SRR17041394_land_Abundance
SRR11837470	SRR11837470_aqua_Abundance
SRR23318460	SRR23318460_aqua_Not
SRR10420863	SRR10420863_aqua_Not
SRR8127618	SRR8127618_land_Abundance
SRR7778149	SRR7778149_land_Abundance
SRR8543663	SRR8543663_land_Not
SRR2080313	SRR2080313_land_Not
SRR21373926	SRR21373926_land_Abundance
SRR2080299	SRR2080299_land_Not
SRR17204935	SRR17204935_land_Abundance
SRR22703648	SRR22703648_land_Abundance
SRR18694234	SRR18694234_aqua_Abundance
SRR24044304	SRR24044304_land_Abundance
SRR7754706	SRR7754706_land_Abundance
SRR18694233	SRR18694233_aqua_Abundance
ERR3609895	ERR3609895_land_Not
SRR3087195	SRR3087195_land_Not
SRR23274338	SRR23274338_aqua_Abundance
SRR17794518	SRR17794518_aqua_Not
SRR10363846	SRR10363846_land_Abundance
SRR7082966	SRR7082966_land_Abundance
SRR8543701	SRR8543701_land_Not
SRR6987781	SRR6987781_land_Not
SRR5248876	SRR5248876_aqua_Abundance
SRR12481290	SRR12481290_land_Abundance
SRR17118850	SRR17118850_aqua_Abundance
SRR8127597	SRR8127597_land_Abundance
SRR8543780	SRR8543780_land_Not
SRR16797980	SRR16797980_land_Abundance
SRR23247701	SRR23247701_land_Not
SRR6689527	SRR6689527_land_Not
SRR14454010	SRR14454010_aqua_Abundance
SRR15646756	SRR15646756_land_Abundance
SRR10420859	SRR10420859_aqua_Not
SRR8127628	SRR8127628_land_Abundance
SRR23684539	SRR23684539_aqua_Abundance
SRR14511832	SRR14511832_aqua_Abundance
SRR23913137	SRR23913137_land_Abundance
SRR21619493	SRR21619493_aqua_Not
SRR18064550	SRR18064550_aqua_Not
SRR8127630	SRR8127630_land_Abundance
SRR18106140	SRR18106140_aqua_Not
SRR15400729	SRR15400729_aqua_Abundance
SRR15677232	SRR15677232_aqua_Abundance
SRR17204920	SRR17204920_land_Abundance
SRR21487740	SRR21487740_aqua_Not
SRR17204949	SRR17204949_land_Abundance
SRR23315092	SRR23315092_aqua_Abundance
SRR8127640	SRR8127640_land_Abundance
SRR5626787	SRR5626787_land_Abundance
ERR2234939	ERR2234939_land_Abundance
SRR11086756	SRR11086756_land_Abundance
SRR23247706	SRR23247706_land_Not
SRR9691055	SRR9691055_aqua_Abundance
SRR18694240	SRR18694240_aqua_Abundance
SRR16915463	SRR16915463_land_Abundance
SRR19161318	SRR19161318_land_Abundance
SRR11837468	SRR11837468_aqua_Abundance
SRR9001935	SRR9001935_aqua_Abundance
SRR2080303	SRR2080303_land_Not
SRR13153521	SRR13153521_aqua_Abundance
SRR20746689	SRR20746689_aqua_Abundance
SRR15510192	SRR15510192_aqua_Not
SRR15646751	SRR15646751_land_Abundance
SRR14458711	SRR14458711_land_Abundance
SRR2138435	SRR2138435_aqua_Not
SRR10420853	SRR10420853_aqua_Not
SRR23345827	SRR23345827_land_Not
SRR21487741	SRR21487741_aqua_Not
SRR16915470	SRR16915470_land_Abundance
SRR10917427	SRR10917427_land_Not
SRR10363850	SRR10363850_land_Abundance
SRR8449815	SRR8449815_land_Not
SRR1430677	SRR1430677_aqua_Not
SRR11582155	SRR11582155_aqua_Not
SRR11108970	SRR11108970_land_Not
SRR13816157	SRR13816157_aqua_Abundance
SRR6960543	SRR6960543_land_Not
SRR8543660	SRR8543660_land_Not
SRR5626802	SRR5626802_land_Not
SRR6987408	SRR6987408_land_Not
SRR18064547	SRR18064547_aqua_Not
SRR19161315	SRR19161315_land_Abundance
SRR11582168	SRR11582168_aqua_Not
SRR21860278	SRR21860278_land_Abundance
SRR11343833	SRR11343833_aqua_Not
ERR3609900	ERR3609900_land_Not
SRR21860276	SRR21860276_land_Abundance
SRR12894080	SRR12894080_aqua_Not
SRR5210208	SRR5210208_aqua_Abundance
SRR9691049	SRR9691049_aqua_Abundance
SRR21619498	SRR21619498_aqua_Not
SRR15668619	SRR15668619_aqua_Not
SRR14301300	SRR14301300_land_Abundance
ERR3597774	ERR3597774_land_Not
SRR19760116	SRR19760116_aqua_Not
SRR2080290	SRR2080290_land_Not
SRR14517503	SRR14517503_land_Not
SRR19161316	SRR19161316_land_Abundance
SRR17204943	SRR17204943_land_Abundance
SRR17036900	SRR17036900_land_Abundance
SRR2304420	SRR2304420_aqua_Not
SRR9166118	SRR9166118_land_Abundance
SRR14511882	SRR14511882_aqua_Not
SRR8543669	SRR8543669_land_Not
SRR19161330	SRR19161330_land_Abundance
SRR14458733	SRR14458733_land_Abundance
SRR22541068	SRR22541068_land_Abundance
SRR11582159	SRR11582159_aqua_Not
SRR9166107	SRR9166107_land_Abundance
SRR8127619	SRR8127619_land_Abundance
SRR3087220	SRR3087220_land_Not
SRR5208283	SRR5208283_land_Not
SRR24079427	SRR24079427_aqua_Not
SRR10968151	SRR10968151_aqua_Abundance
SRR1654797	SRR1654797_aqua_Not
SRR10420867	SRR10420867_aqua_Not
SRR9166117	SRR9166117_land_Not
SRR2080309	SRR2080309_land_Not
SRR10072862	SRR10072862_aqua_Abundance
SRR15532676	SRR15532676_aqua_Abundance
SRR13480373	SRR13480373_aqua_Not
SRR23651774	SRR23651774_land_Abundance
SRR22870116	SRR22870116_land_Abundance
SRR21120502	SRR21120502_aqua_Abundance
SRR10067287	SRR10067287_aqua_Abundance
SRR10968218	SRR10968218_land_Abundance
SRR11582146	SRR11582146_aqua_Not
SRR15530472	SRR15530472_aqua_Abundance
SRR18064555	SRR18064555_aqua_Not
SRR13153296	SRR13153296_aqua_Abundance
SRR6053197	SRR6053197_land_Not
SRR3087192	SRR3087192_land_Not
SRR15214118	SRR15214118_aqua_Not
SRR8543517	SRR8543517_land_Not
ERR3609916	ERR3609916_land_Not
SRR16915465	SRR16915465_land_Abundance
SRR5626801	SRR5626801_land_Not
SRR15214127	SRR15214127_aqua_Not
SRR15530478	SRR15530478_aqua_Abundance
SRR11582160	SRR11582160_aqua_Not
SRR13001972	SRR13001972_land_Abundance
SRR17401464	SRR17401464_aqua_Abundance
SRR5476650	SRR5476650_aqua_Abundance
SRR15668622	SRR15668622_aqua_Not
SRR14458752	SRR14458752_land_Abundance
SRR22541067	SRR22541067_land_Abundance
SRR20746676	SRR20746676_aqua_Abundance
SRR1158214	SRR1158214_aqua_Not
SRR7082971	SRR7082971_land_Abundance
SRR14865846	SRR14865846_aqua_Not
SRR16915462	SRR16915462_land_Abundance
SRR24044318	SRR24044318_land_Abundance
SRR14458722	SRR14458722_land_Abundance
SRR5690606	SRR5690606_land_Abundance
SRR1158216	SRR1158216_aqua_Not
SRR20241899	SRR20241899_aqua_Not
SRR4142417	SRR4142417_land_Abundance
SRR11400153	SRR11400153_aqua_Not
SRR22870126	SRR22870126_land_Abundance
SRR16915479	SRR16915479_land_Abundance
SRR13122123	SRR13122123_aqua_Abundance
SRR12893485	SRR12893485_aqua_Not
SRR14454003	SRR14454003_aqua_Abundance
SRR11837737	SRR11837737_aqua_Abundance
SRR15214117	SRR15214117_aqua_Not
SRR2080304	SRR2080304_land_Not
SRR7082965	SRR7082965_land_Abundance
SRR12605076	SRR12605076_aqua_Not
SRR23684528	SRR23684528_aqua_Abundance
SRR5817588	SRR5817588_aqua_Abundance
SRR9016293	SRR9016293_land_Not
SRR8127588	SRR8127588_land_Abundance
SRR10420857	SRR10420857_aqua_Not
SRR24044325	SRR24044325_land_Abundance
SRR12358728	SRR12358728_aqua_Not
SRR15646755	SRR15646755_land_Abundance
SRR8127639	SRR8127639_land_Abundance
SRR22541073	SRR22541073_land_Abundance
SRR24044305	SRR24044305_land_Abundance
SRR11343837	SRR11343837_aqua_Not
SRR18064554	SRR18064554_aqua_Not
SRR14454025	SRR14454025_aqua_Abundance
SRR7976140	SRR7976140_land_Abundance
SRR23247703	SRR23247703_land_Not
SRR10072860	SRR10072860_aqua_Abundance
SRR7082984	SRR7082984_land_Abundance
SRR13492908	SRR13492908_land_Abundance
SRR7082982	SRR7082982_land_Abundance
SRR22870112	SRR22870112_land_Abundance
SRR20079032	SRR20079032_land_Abundance
SRR23684443	SRR23684443_aqua_Abundance
SRR21430009	SRR21430009_aqua_Abundance
ERR3597761	ERR3597761_land_Not
SRR9691059	SRR9691059_aqua_Abundance
SRR10420882	SRR10420882_aqua_Not
SRR15214116	SRR15214116_aqua_Not
SRR14458745	SRR14458745_land_Abundance
SRR9016295	SRR9016295_land_Not
SRR17041387	SRR17041387_land_Abundance
SRR10072861	SRR10072861_aqua_Not
SRR4140275	SRR4140275_land_Abundance
SRR18106136	SRR18106136_aqua_Not
SRR14517500	SRR14517500_land_Not
SRR10420861	SRR10420861_aqua_Not
SRR10420858	SRR10420858_aqua_Not
ERR3597756	ERR3597756_land_Not
SRR9691033	SRR9691033_aqua_Abundance
ERR3597789	ERR3597789_land_Not
SRR16798072	SRR16798072_land_Abundance
SRR15214113	SRR15214113_aqua_Abundance
SRR197601	SRR197601_aqua_Not
SRR7976234	SRR7976234_land_Not
SRR23135032	SRR23135032_land_Abundance
SRR19888802	SRR19888802_aqua_Abundance
SRR2080298	SRR2080298_land_Not
SRR22870106	SRR22870106_land_Abundance
SRR1765858	SRR1765858_land_Not
SRR19666938	SRR19666938_aqua_Abundance
SRR23684453	SRR23684453_aqua_Abundance
SRR11516662	SRR11516662_land_Abundance
SRR20140230	SRR20140230_aqua_Not
SRR23026121	SRR23026121_land_Abundance
SRR1976012	SRR1976012_aqua_Not
SRR15372772	SRR15372772_aqua_Not
SRR10848475	SRR10848475_aqua_Not
SRR24079441	SRR24079441_aqua_Abundance
SRR6960548	SRR6960548_land_Not
SRR5271154	SRR5271154_land_Not
SRR18694244	SRR18694244_aqua_Abundance
SRR21705889	SRR21705889_aqua_Abundance
SRR23651775	SRR23651775_land_Abundance
SRR18694246	SRR18694246_aqua_Abundance
SRR2080314	SRR2080314_land_Not
SRR223645	SRR223645_aqua_Not
SRR23315098	SRR23315098_aqua_Abundance
SRR9691037	SRR9691037_aqua_Abundance
SRR9691026	SRR9691026_aqua_Abundance
SRR15532675	SRR15532675_aqua_Abundance
SRR23318456	SRR23318456_aqua_Not
SRR19161334	SRR19161334_land_Abundance
SRR2331846	SRR2331846_aqua_Not
SRR23684532	SRR23684532_aqua_Abundance
SRR10156272	SRR10156272_aqua_Not
SRR18502801	SRR18502801_aqua_Abundance
SRR24044331	SRR24044331_land_Abundance
SRR16915467	SRR16915467_land_Abundance
SRR21856589	SRR21856589_aqua_Abundance
SRR1009535	SRR1009535_aqua_Not
SRR20242028	SRR20242028_aqua_Abundance
SRR15947152	SRR15947152_land_Abundance
SRR10363844	SRR10363844_land_Abundance
SRR7976232	SRR7976232_land_Not
SRR7778156	SRR7778156_land_Abundance
SRR17036903	SRR17036903_land_Abundance
SRR23985277	SRR23985277_aqua_Not
SRR5209943	SRR5209943_aqua_Abundance
SRR12481297	SRR12481297_land_Not
SRR12894171	SRR12894171_aqua_Not
SRR5580903	SRR5580903_aqua_Abundance
ERR3597765	ERR3597765_land_Not
SRR5271155	SRR5271155_land_Not
SRR19161329	SRR19161329_land_Abundance
SRR18694248	SRR18694248_aqua_Abundance
SRR13153511	SRR13153511_aqua_Abundance
SRR8127603	SRR8127603_land_Not
SRR17204944	SRR17204944_land_Abundance
SRR18336088	SRR18336088_aqua_Not
SRR18177721	SRR18177721_land_Not
SRR7082974	SRR7082974_land_Abundance
SRR11837471	SRR11837471_aqua_Abundance
SRR5271167	SRR5271167_land_Not
SRR23247668	SRR23247668_land_Not
SRR11457943	SRR11457943_aqua_Not
SRR21836767	SRR21836767_land_Abundance
SRR12358725	SRR12358725_aqua_Not
SRR23318455	SRR23318455_aqua_Not
ERR3609908	ERR3609908_land_Not
SRR6987321	SRR6987321_land_Not
SRR8191145	SRR8191145_aqua_Abundance
SRR2080289	SRR2080289_land_Not
SRR2080306	SRR2080306_land_Not
SRR17191898	SRR17191898_land_Abundance
SRR12358723	SRR12358723_aqua_Not
SRR5246787	SRR5246787_aqua_Abundance
SRR13816176	SRR13816176_aqua_Abundance
SRR12481292	SRR12481292_land_Abundance
SRR16915480	SRR16915480_land_Abundance
SRR13153330	SRR13153330_aqua_Abundance
SRR14458743	SRR14458743_land_Abundance
SRR17036904	SRR17036904_land_Abundance
SRR17118851	SRR17118851_aqua_Not
SRR13882935	SRR13882935_land_Not
SRR23913142	SRR23913142_land_Abundance
SRR10968148	SRR10968148_aqua_Abundance
SRR16646004	SRR16646004_aqua_Not
SRR19161324	SRR19161324_land_Abundance
SRR23684448	SRR23684448_aqua_Abundance
SRR5271156	SRR5271156_land_Not
SRR10095344	SRR10095344_aqua_Not
SRR23651773	SRR23651773_land_Abundance
SRR20746678	SRR20746678_aqua_Abundance
SRR10420854	SRR10420854_aqua_Not
SRR11582174	SRR11582174_aqua_Not
SRR12481294	SRR12481294_land_Abundance
SRR14865844	SRR14865844_aqua_Abundance
SRR17470371	SRR17470371_aqua_Not
SRR17589676	SRR17589676_aqua_Not
ERR3597768	ERR3597768_land_Not
SRR15947153	SRR15947153_land_Abundance
SRR23986798	SRR23986798_aqua_Not
SRR16156401	SRR16156401_aqua_Not
SRR22703642	SRR22703642_land_Abundance
SRR16915477	SRR16915477_land_Abundance
SRR8543782	SRR8543782_land_Not
SRR23135034	SRR23135034_aqua_Not
SRR2031887	SRR2031887_aqua_Not
SRR9166109	SRR9166109_land_Abundance
SRR7082968	SRR7082968_land_Abundance
SRR21860275	SRR21860275_land_Abundance
SRR11734617	SRR11734617_aqua_Abundance
SRR6987547	SRR6987547_land_Not
SRR19222064	SRR19222064_aqua_Not
SRR17041393	SRR17041393_land_Not
SRR21430006	SRR21430006_aqua_Abundance
ERR3609898	ERR3609898_land_Not
SRR21860279	SRR21860279_land_Abundance
SRR2080293	SRR2080293_land_Not
SRR9691021	SRR9691021_aqua_Abundance
SRR20746691	SRR20746691_aqua_Abundance
SRR17191901	SRR17191901_land_Abundance
ERR3597785	ERR3597785_land_Not
SRR10375099	SRR10375099_aqua_Not
SRR16156407	SRR16156407_aqua_Not
SRR15646759	SRR15646759_land_Abundance
SRR20746696	SRR20746696_aqua_Abundance
SRR24044292	SRR24044292_land_Abundance
SRR10519663	SRR10519663_aqua_Not
SRR19666935	SRR19666935_aqua_Abundance
SRR17938981	SRR17938981_land_Abundance
ERR4179835	ERR4179835_land_Not
SRR2004604	SRR2004604_aqua_Not
SRR13153352	SRR13153352_aqua_Abundance
SRR8127611	SRR8127611_land_Abundance
SRR23684480	SRR23684480_aqua_Abundance
SRR5817586	SRR5817586_aqua_Abundance
SRR22703644	SRR22703644_land_Abundance
SRR17710031	SRR17710031_land_Abundance
SRR21487745	SRR21487745_aqua_Not
SRR6958908	SRR6958908_land_Abundance
SRR15947158	SRR15947158_land_Abundance
SRR23913144	SRR23913144_land_Abundance
SRR23684553	SRR23684553_aqua_Abundance
SRR7976141	SRR7976141_land_Not
SRR19666936	SRR19666936_aqua_Abundance
SRR6689526	SRR6689526_land_Abundance
SRR19161327	SRR19161327_land_Abundance
SRR15214129	SRR15214129_aqua_Not
SRR23315095	SRR23315095_aqua_Abundance
SRR20079029	SRR20079029_land_Abundance
SRR13153402	SRR13153402_aqua_Not
SRR21487743	SRR21487743_aqua_Not
SRR10156265	SRR10156265_aqua_Not
SRR20079020	SRR20079020_land_Abundance
SRR23684485	SRR23684485_aqua_Abundance
SRR15646752	SRR15646752_land_Abundance
SRR10156267	SRR10156267_aqua_Abundance
SRR13153466	SRR13153466_aqua_Abundance
ERR2271548	ERR2271548_aqua_Not
SRR23684466	SRR23684466_aqua_Abundance
SRR13515746	SRR13515746_aqua_Not
SRR6987549	SRR6987549_land_Not
SRR15214119	SRR15214119_aqua_Not
SRR10095351	SRR10095351_aqua_Abundance
SRR16797999	SRR16797999_land_Abundance
SRR16156424	SRR16156424_aqua_Not
SRR5210466	SRR5210466_aqua_Abundance
SRR6987276	SRR6987276_land_Not
SRR7082970	SRR7082970_land_Not
SRR13882928	SRR13882928_land_Not
SRR2080292	SRR2080292_land_Not
SRR18694250	SRR18694250_aqua_Abundance
SRR23913139	SRR23913139_land_Abundance
SRR23247684	SRR23247684_land_Not
SRR23247666	SRR23247666_land_Not
SRR19161322	SRR19161322_land_Abundance
SRR8127608	SRR8127608_land_Abundance
SRR10420865	SRR10420865_aqua_Not
SRR16915461	SRR16915461_land_Abundance
SRR10836660	SRR10836660_aqua_Not
SRR17191903	SRR17191903_land_Abundance
SRR16915460	SRR16915460_land_Abundance
SRR22315504	SRR22315504_land_Abundance
SRR9166124	SRR9166124_land_Abundance
SRR6689529	SRR6689529_land_Not
SRR17938980	SRR17938980_land_Abundance
SRR14454019	SRR14454019_aqua_Abundance
SRR23345830	SRR23345830_land_Not
SRR23651779	SRR23651779_land_Abundance
SRR10968156	SRR10968156_aqua_Abundance
SRR8543655	SRR8543655_land_Not
SRR8127599	SRR8127599_land_Abundance
SRR10072858	SRR10072858_aqua_Abundance
SRR24044329	SRR24044329_land_Abundance
SRR24044308	SRR24044308_land_Abundance
SRR13882927	SRR13882927_land_Abundance
SRR5166355	SRR5166355_land_Abundance
SRR10097245	SRR10097245_aqua_Not
SRR8449814	SRR8449814_land_Abundance
SRR10968155	SRR10968155_aqua_Abundance
ERR3597780	ERR3597780_land_Not
SRR10916864	SRR10916864_land_Not
SRR10363843	SRR10363843_land_Abundance
SRR2107173	SRR2107173_land_Abundance
SRR17191900	SRR17191900_land_Abundance
SRR21619496	SRR21619496_aqua_Not
SRR9691057	SRR9691057_aqua_Abundance
