"Genus","baseMean","log2FoldChange","lfc5E","stat","pvalue","padj","change","Type"
"g__Luteitalea",1558.55875613979,2.31675056425388,0.290423204348839,7.97715378648302,1.49746203098297e-15,1.9026576393666e-14,"UP","landfill"
"g__Flaviflexus",988.276260455483,3.54409565851884,0.336873609412889,10.5205500208092,6.9466868346059e-26,3.6498268125605e-24,"UP","landfill"
"g__Jiangella",476.460466034493,2.0418092967995,0.214079698955038,9.53761289260937,1.46157748211558e-21,4.30501003823136e-20,"UP","landfill"
"g__Streptomyces",35584.6514357917,2.11115099213936,0.20899396178058,10.1014927615748,5.44076045665778e-24,2.2035079849464e-22,"UP","landfill"
"g__Georgenia",868.190534586628,2.67088845439938,0.238030452631425,11.2207846721826,3.223970268594e-29,2.98447533435559e-27,"UP","landfill"
"g__Actinotalea",249.923881516134,2.58526992337014,0.254351804718994,10.1641501078647,2.8661065083244e-24,1.23815801159614e-22,"UP","landfill"
"g__Cellulomonas",3182.66508374051,2.17347852983335,0.219420004654332,9.90556231760813,3.9374874789076e-23,1.44424069037667e-21,"UP","landfill"
"g__Oerskovia",153.428339627771,2.01147769674322,0.232230217170381,8.66156747925465,4.65320941060212e-18,8.07664204840225e-17,"UP","landfill"
"g__Paraoerskovia",207.604086878686,2.18421290873307,0.21630719954108,10.0977355971836,5.65324548291705e-24,2.24283861607974e-22,"UP","landfill"
"g__Intrasporangium",1622.09703008785,5.0953321913648,0.318893936620576,15.9781407114909,1.81478636753092e-57,1.76397234924005e-54,"UP","landfill"
"g__Pedococcus",197.454907896165,2.50544568228045,0.240809155677428,10.4042791696698,2.37043274847909e-25,1.12393201537643e-23,"UP","landfill"
"g__Phycicoccus",362.475555968059,2.12043987308101,0.230505070330721,9.19910295265382,3.60950349294258e-20,9.35583305370717e-19,"UP","landfill"
"g__Tetrasphaera",153.738251478514,2.56451158685403,0.241547131976849,10.6170235426344,2.48354036765407e-26,1.37942927849129e-24,"UP","landfill"
"g__Jonesia",270.898424700641,4.91140095035393,0.374343546663998,13.1200363786751,2.52813555630409e-39,4.09557960121263e-37,"UP","landfill"
"g__Agromyces",2298.76128509512,2.23411501080639,0.235192782366608,9.49907981157324,2.11753151607208e-21,6.05364892241783e-20,"UP","landfill"
"g__Gulosibacter",548.935594894179,2.52101007407378,0.292811575681174,8.60966670531757,7.32732972414135e-18,1.24950254243252e-16,"UP","landfill"
"g__Citricoccus",338.266902060348,2.54532368685576,0.234319405733095,10.862624369042,1.73684765727353e-27,1.25053031323694e-25,"UP","landfill"
"g__Kocuria",1320.14017664677,2.5013055801538,0.239849069330995,10.4286649397083,1.834476309138e-25,9.14415883324171e-24,"UP","landfill"
"g__Paeniglutamicibacter",305.216323605518,3.19113585762357,0.274203889483233,11.637821271017,2.64690882360293e-31,3.02681809004947e-29,"UP","landfill"
"g__Cellulosimicrobium",1600.87302151673,2.90294285998756,0.289678123553393,10.0212705895014,1.22912518896599e-23,4.68513601441156e-22,"UP","landfill"
"g__Xylanimonas",363.496383929675,2.02951629644553,0.217496596715703,9.33125541774973,1.04624216867204e-20,2.78615722725815e-19,"UP","landfill"
"g__Sanguibacter",548.067604189173,2.2279339237884,0.295346966046803,7.54344611562843,4.57712010095965e-14,4.38321254988451e-13,"UP","landfill"
"g__Luteimicrobium",133.804830238661,2.15760763862454,0.228507859150292,9.44215943664966,3.65174584790082e-21,1.02883969975641e-19,"UP","landfill"
"g__Actinoplanes",2124.80070880811,2.0869425149952,0.215783979603414,9.67144325927607,3.98714936244813e-22,1.27065874763921e-20,"UP","landfill"
"g__Catellatospora",664.946535151854,3.6044793997271,0.276093389452194,13.0552904829734,5.928347726518e-39,8.86515998488538e-37,"UP","landfill"
"g__Couchioplanes",224.176207203997,2.22304165719297,0.229814688039611,9.67319224091457,3.91957282403017e-22,1.26994159498578e-20,"UP","landfill"
"g__Dactylosporangium",1414.07162759805,2.44122349377727,0.229278063759897,10.647435928863,1.79233947985618e-26,1.055850893588e-24,"UP","landfill"
"g__Micromonospora",14630.916213167,3.64134101157471,0.260879268140103,13.957954718039,2.81393719021951e-44,1.09405877955735e-41,"UP","landfill"
"g__Phytohabitans",617.162294206263,2.53399846389216,0.236914353458428,10.6958418808374,1.06448521832146e-26,6.89786421472308e-25,"UP","landfill"
"g__Plantactinospora",448.439024341986,2.49645041362598,0.226842822740448,11.0051990337045,3.60718532193592e-28,3.18172021901445e-26,"UP","landfill"
"g__Polymorphospora",207.17393120975,2.36406185037765,0.226847053170981,10.4213910532741,1.98035271382984e-25,9.62451418921305e-24,"UP","landfill"
"g__Salinispora",103.180603123581,2.76995052139104,0.242343508355705,11.4298523619844,2.96612701139439e-30,3.03481626850036e-28,"UP","landfill"
"g__Solwaraspora",486.904548367967,2.34480681149239,0.214785938473284,10.9169474880873,9.56568358067209e-28,7.43827555233062e-26,"UP","landfill"
"g__Corynebacterium",30555.9908700837,2.82541935729726,0.336459116990728,8.39751165778372,4.56039283099141e-17,6.98063280586401e-16,"UP","landfill"
"g__Dietzia",4696.62407145927,3.24181142980551,0.340071998551464,9.53272084621491,1.53213952412662e-21,4.44549139537634e-20,"UP","landfill"
"g__Kribbella",511.307661211324,2.27867612501932,0.213315878747098,10.682168333661,1.23356170494326e-26,7.73562565938609e-25,"UP","landfill"
"g__Kibdelosporangium",168.499867377182,2.00896089559292,0.208770118389636,9.62283736336016,6.4039816760366e-22,2.00795812551857e-20,"UP","landfill"
"g__Kutzneria",1050.26041456884,2.69104315459845,0.247430007117805,10.8759773559607,1.50039080357421e-27,1.12183066236472e-25,"UP","landfill"
"g__Lentzea",558.802337600609,2.5579639009408,0.246839968908722,10.362843230979,3.65920118499598e-25,1.69368740562671e-23,"UP","landfill"
"g__Saccharomonospora",5964.85101311056,5.58299967263663,0.336867389389293,16.5732862499931,1.08718359570316e-61,2.11348491004694e-58,"UP","landfill"
"g__Nocardiopsis",903.719052400149,2.35144416658928,0.223419893339745,10.5247752625749,6.64197557712456e-26,3.58666681164726e-24,"UP","landfill"
"g__Capillimicrobium",495.545432635765,2.02182899630787,0.254486109284128,7.94475188447534,1.94579858697646e-15,2.37901412143537e-14,"UP","landfill"
"g__Conexibacter",1193.18338273445,2.16967864480482,0.249971854755263,8.67969174741316,3.96842895947128e-18,6.95011342091186e-17,"UP","landfill"
"g__Paraconexibacter",311.331169818666,2.07087699413602,0.245294377712074,8.44241524592466,3.10846802631442e-17,4.99410069682251e-16,"UP","landfill"
"g__Amphibacillus",111.565731535504,2.52139929263084,0.402684324623094,6.26147862842894,3.81344088198272e-10,2.23967645757535e-09,"UP","landfill"
"g__Planococcus",4761.83442216584,3.91028421294241,0.368198943887148,10.6200310399068,2.4048114502655e-26,1.37498631156357e-24,"UP","landfill"
"g__Ureibacillus",175.125616045041,2.1987968689533,0.340367997331413,6.46005760292543,1.04663133630833e-10,6.73725601915033e-10,"UP","landfill"
"g__Jeotgalicoccus",1465.8838480558,4.41763252290949,0.439052704683033,10.0617362694502,8.15472817935622e-24,3.1705583161337e-22,"UP","landfill"
"g__Thermoactinomyces",135.332690591904,2.39419929223926,0.309995041804712,7.72334705194262,1.13314098627256e-14,1.20373009689281e-13,"UP","landfill"
"g__Exiguobacterium",797.767314084736,2.49168103784031,0.305515779053746,8.1556541713087,3.47294891840892e-16,4.72126762055031e-15,"UP","landfill"
"g__Desemzia",730.856724954985,2.11019872867109,0.543306550619387,3.88399279608427,0.000102754953235448,0.000248452274987202,"UP","landfill"
"g__Jeotgalibaca",1385.33001731802,2.45760147928455,0.448941409147476,5.47421429435849,4.39457016256127e-08,1.82154464733883e-07,"UP","landfill"
"g__Anaerotignum",104.057929654608,-2.27774889083519,0.315367021734934,-7.22253353665381,5.10278145269297e-13,4.45027938702898e-12,"DOWN","landfill"
"g__Novisyntrophococcus",69.2086265002215,-2.32180811439143,0.329217670717905,-7.0525014933992,1.75729526627967e-12,1.42340916568653e-11,"DOWN","landfill"
"g__Caproicibacterium",126.602441495277,-2.42664503620298,0.26430466992648,-9.18124162118661,4.26149037479528e-20,1.04865028969646e-18,"DOWN","landfill"
"g__Bacteroides",3004.80542413661,-2.92660818423481,0.29637788847614,-9.8745834221382,5.36554354151203e-23,1.89647575358171e-21,"DOWN","landfill"
"g__Paludibacter",93.7453526021769,-2.18398587889334,0.286491962030231,-7.62320123544299,2.47460640286668e-14,2.50883876877088e-13,"DOWN","landfill"
"g__Prevotella",1281.90491623051,-2.78123811273517,0.268668861347212,-10.3519183383922,4.10183373855674e-25,1.85441041575682e-23,"DOWN","landfill"
"g__Aliarcobacter",872.258848784296,-2.44575614627503,0.414209986998609,-5.90462862568121,3.53442022259111e-09,1.77542969320856e-08,"DOWN","landfill"
"g__Arcobacter",953.164107702374,-5.03073177943318,0.372983194358929,-13.487824265326,1.84464172173461e-41,3.98442611894675e-39,"DOWN","landfill"
"g__Halarcobacter",54.7192485706428,-2.12970173392564,0.328751757886055,-6.47814553941882,9.28567669571606e-11,6.03724264096054e-10,"DOWN","landfill"
"g__Sulfuricurvum",225.485375964554,-4.96567947694391,0.35808101436709,-13.8674748945313,9.97261171244718e-44,2.42334464612466e-41,"DOWN","landfill"
"g__Sulfurimonas",460.968311170072,-2.13412647365346,0.326127935360209,-6.54383216603727,5.99620881568401e-11,4.03343596459852e-10,"DOWN","landfill"
"g__Sulfurospirillum",156.765151915752,-2.89937516238599,0.26354712810958,-11.0013536599058,3.76438091755825e-28,3.18172021901445e-26,"DOWN","landfill"
"g__Sulfurovum",91.9475499114795,-2.49570478639411,0.273733674728961,-9.11727352823962,7.70379673860426e-20,1.8263635194935e-18,"DOWN","landfill"
"g__Candidatus Absconditicoccus",6.91623818018522,-2.02590631491784,0.245588033676845,-8.24920613837238,1.59450185379004e-16,2.27919970865282e-15,"DOWN","landfill"
"g__Candidatus Cloacimonas",242.028177195163,-4.22374843261832,0.433684120293512,-9.73922778117803,2.05107020853086e-22,6.87462152652413e-21,"DOWN","landfill"
"g__Candidatus Velamenicoccus",81.1583406408865,-3.63523524284067,0.298991116368896,-12.1583386389163,5.18014657273922e-34,7.19300352671789e-32,"DOWN","landfill"
"g__Waddlia",19.2549866054688,-2.18486547240432,0.294994441478446,-7.40646319115121,1.2971222346358e-13,1.20650986800574e-12,"DOWN","landfill"
"g__Candidatus Promineifilum",990.989229489846,-2.84119256423626,0.336460117142216,-8.44436656673735,3.05698522151153e-17,4.95231605884867e-16,"DOWN","landfill"
"g__Dehalococcoides",223.465609321808,-3.22589408091396,0.283994349041506,-11.3590079936502,6.68999725820067e-30,6.50267733497105e-28,"DOWN","landfill"
"g__Scytonema",126.847071385005,3.16917144652262,0.329992239470753,9.60377568759008,7.7068361809911e-22,2.3781094501344e-20,"UP","landfill"
"g__Endomicrobium",20.3972709433621,-2.05347282258061,0.217551595249483,-9.43901523785993,3.76299211481009e-21,1.04503666731297e-19,"DOWN","landfill"
"g__Ignavibacterium",153.663917833947,-2.84607493099997,0.266926723936767,-10.6623828780598,1.52635755876313e-26,9.27262216948602e-25,"DOWN","landfill"
"g__Melioribacter",25.2204600999999,-2.00461363871325,0.190665490130256,-10.5137727721139,7.46462721051326e-26,3.81874613085205e-24,"DOWN","landfill"
"g__Mariniplasma",73.3804417940472,-2.36896517953643,0.426898392155489,-5.54924830607838,2.86900459984219e-08,1.24217036572232e-07,"DOWN","landfill"
"g__Paracholeplasma",87.8813381113946,-2.18590257685204,0.416049450150213,-5.25394896222752,1.48872150929781e-07,5.55484570839719e-07,"DOWN","landfill"
"g__Anaeromyxobacter",2941.14573391573,2.86498045723658,0.266657400274759,10.7440500593067,6.32092365846429e-27,4.23719848001882e-25,"UP","landfill"
"g__Pseudochrobactrum",1231.18108122711,3.08774134235074,0.361123768163981,8.55036863967547,1.22696000931868e-17,2.07409587662219e-16,"UP","landfill"
"g__Rhodoplanes",1109.33962697407,2.38317062762046,0.314640765541954,7.57425892832276,3.61183407392573e-14,3.52834444206614e-13,"UP","landfill"
"g__Methylosinus",1467.98434654306,-2.71661886771973,0.341228662625554,-7.9612856868967,1.70260762253269e-15,2.12171103730997e-14,"DOWN","landfill"
"g__Pseudorhizobium",1171.18654602878,3.62390875189698,0.314727442962933,11.5144352134675,1.11588244110101e-30,1.20515303638909e-28,"UP","landfill"
"g__Advenella",2819.50343145023,2.34547086717348,0.356462904751472,6.57984557694372,4.70937122756895e-11,3.21228690048914e-10,"UP","landfill"
"g__Alcaligenes",17071.6460853122,4.96173706335731,0.369412662567557,13.4314211886278,3.95742955432372e-41,7.69324305360532e-39,"UP","landfill"
"g__Paenalcaligenes",1959.72250349655,5.3249210736535,0.372946264786617,14.2779847297845,3.00156426064949e-46,1.94501364090087e-43,"UP","landfill"
"g__Ottowia",1296.10861043411,-2.10041307496838,0.2636865531116,-7.96556764151495,1.6446703915995e-15,2.06273499436737e-14,"DOWN","landfill"
"g__Gallionella",183.813727363009,-3.05618341673426,0.258654229168259,-11.8157102111258,3.23800984669131e-32,3.93418196372995e-30,"DOWN","landfill"
"g__Candidatus Methylopumilus",154.768212949423,-2.39155568185224,0.263294290720864,-9.08320372350074,1.05425040304998e-19,2.4111326865049e-18,"DOWN","landfill"
"g__Methylobacillus",185.668649406934,-2.1763579999842,0.270297778274504,-8.05170510049097,8.1648447990088e-16,1.06526565699819e-14,"DOWN","landfill"
"g__Methylophilus",329.242572539844,-2.8163710612285,0.278166517018671,-10.1247666017239,4.29001005253655e-24,1.77442117917682e-22,"DOWN","landfill"
"g__Methyloradius",155.140148183316,-3.50915114220006,0.326323921572074,-10.7535822850333,5.70038156457101e-27,3.9576934862593e-25,"DOWN","landfill"
"g__Methylotenera",357.323957488731,-4.2020175990094,0.319719453336475,-13.1428274231007,1.87102612303802e-39,3.30661343925993e-37,"DOWN","landfill"
"g__Methylovorus",227.743768230182,-2.13346169206859,0.280640253972816,-7.60212286679031,2.91311947099748e-14,2.8893389038873e-13,"DOWN","landfill"
"g__Nitrosomonas",1717.96798729437,-2.05269984232626,0.266822386160479,-7.69313201888417,1.43576229842177e-14,1.50871454493617e-13,"DOWN","landfill"
"g__Methyloversatilis",365.822004507582,-2.10109460214859,0.260580586932858,-8.06312790557173,7.43666420678282e-16,9.8859924256563e-15,"DOWN","landfill"
"g__Sulfuritalea",435.131854741164,-2.05910993822087,0.257095457994725,-8.00912608212286,1.15526423954686e-15,1.47752215899941e-14,"DOWN","landfill"
"g__Thiobacillus",1438.86128776871,2.23599236698538,0.288230870408685,7.75764359943452,8.65218868852785e-15,9.36659367205188e-14,"UP","landfill"
"g__Thauera",14192.8264323798,-3.62177687396727,0.330205665202175,-10.9682457196783,5.43159855862994e-28,4.39959483249025e-26,"DOWN","landfill"
"g__Idiomarina",1062.28260065133,2.46953418653575,0.321675136125654,7.67710621429905,1.6272250867279e-14,1.69161795112248e-13,"UP","landfill"
"g__Ignatzschineria",59.0377619077011,2.03835546030642,0.351137984986547,5.80499845490802,6.43665975238672e-09,3.08959668114563e-08,"UP","landfill"
"g__Cellvibrio",871.821664248866,2.39025581605361,0.270014636171869,8.85231945179509,8.57189314197198e-19,1.64987725425678e-17,"UP","landfill"
"g__Rheinheimera",573.772168804277,2.83882330375235,0.316201895127939,8.97788200353363,2.76028886076715e-19,5.96222393925705e-18,"UP","landfill"
"g__Candidatus Moranella",8.58367864263225,-2.01312375582232,0.312752310304481,-6.43679899234778,1.22019348993848e-10,7.71142353641475e-10,"DOWN","landfill"
"g__Providencia",700.425903049143,2.43360895690184,0.2925695543992,8.31805264870886,8.94202934911884e-17,1.32696985150283e-15,"UP","landfill"
"g__Acinetobacter",21596.6596653995,3.07684335645502,0.373715184648383,8.23312373392034,1.82393626601043e-16,2.56937108777122e-15,"UP","landfill"
"g__Psychrobacter",19590.5748348382,5.96258509811927,0.42902785268376,13.8978974460997,6.5229487765857e-44,2.11343540361377e-41,"UP","landfill"
"g__Venatoribacter",193.03460977543,2.5505213320948,0.249341834897908,10.2290148507935,1.47007176641746e-24,6.49504434980804e-23,"UP","landfill"
"g__Azotobacter",737.059589682179,2.13344596948776,0.177480187034251,12.0207556975136,2.76431675862903e-33,3.58255451918322e-31,"UP","landfill"
"g__Denitrificimonas",13873.1544165431,6.93638395409719,0.491362367153774,14.1166365553722,2.99970329724943e-45,1.45785580246322e-42,"UP","landfill"
"g__Halopseudomonas",10531.4473063274,4.23532190260328,0.305018341878234,13.8854662854802,7.7593773265669e-44,2.15488993183515e-41,"UP","landfill"
"g__Syntrophus",99.1127123361397,-2.3279066048866,0.259714040998252,-8.96334520821024,3.1497460178218e-19,6.6555502811365e-18,"DOWN","landfill"
"g__Brevibacterium",1350.10984619537,2.06416274063516,0.225491776182345,9.15404887744538,5.48387423624099e-20,2.5382503607744e-18,"UP","compost"
"g__Saccharomonospora",16211.2501073954,5.79269716855502,0.310709483789136,18.6434514257899,1.42727734734382e-77,9.24875721078796e-75,"UP","compost"
"g__Nocardiopsis",1562.54044229515,2.94867030283132,0.287239232196717,10.2655555798586,1.00739414586839e-24,8.15989258153397e-23,"UP","compost"
"g__Thermobifida",25623.798108594,5.96982920546879,0.383048261896554,15.5850575483906,9.19804792492676e-55,2.2351256457572e-52,"UP","compost"
"g__Thermobispora",721.462260893301,2.46879067044207,0.313784399086977,7.86779291011774,3.60952424133296e-15,1.01694422103642e-13,"UP","compost"
"g__Actinomadura",3761.18259775676,2.16911489868635,0.296509870508999,7.31548968323643,2.56444483349236e-13,5.66509176853311e-12,"UP","compost"
"g__Arabiibacter",2397.66665222738,-6.99474853500042,0.365498180512578,-19.1375741602623,1.22858507996909e-81,1.19418469772995e-78,"DOWN","compost"
"g__Allobacillus",187.224731642246,3.29099738664703,0.388559202762886,8.46974505621302,2.45930705266055e-17,9.02055266107944e-16,"UP","compost"
"g__Caldalkalibacillus",348.781456901338,2.18884340898502,0.391060752795672,5.59719530363786,2.17847253670603e-08,2.20570344341486e-07,"UP","compost"
"g__Caldibacillus",746.444385877556,2.5213841767877,0.378986181375772,6.65297127097017,2.87234278735096e-11,4.69229779715149e-10,"UP","compost"
"g__Fervidibacillus",1096.36565957343,3.04119696352906,0.432780963003333,7.02710429410833,2.10863756102612e-12,4.09919141863478e-11,"UP","compost"
"g__Halalkalibacterium (ex Joshi et al. 2022)",786.242734938883,3.17598842621366,0.439893416914059,7.2199044225164,5.20241259313849e-13,1.08747205172701e-11,"UP","compost"
"g__Thermobacillus",426.089289278903,2.47070107046026,0.293665181413586,8.41332655974844,3.98543400624e-17,1.40866976511465e-15,"UP","compost"
"g__Planococcus",1117.350958332,2.04284444640457,0.25824000020323,7.91064298635721,2.56062882476593e-15,7.32038593433084e-14,"UP","compost"
"g__Solibacillus",493.670509465007,2.24055068488444,0.340627783508999,6.57770972703183,4.77749727733775e-11,7.5507761846704e-10,"UP","compost"
"g__Ureibacillus",2266.08542439577,4.06986217166502,0.392555167109291,10.3676183952304,3.48092025528453e-25,2.94213433751006e-23,"UP","compost"
"g__Jeotgalicoccus",174.178512155706,2.39859281349153,0.361985794908167,6.62620701483613,3.44422068254696e-11,5.57963750572607e-10,"UP","compost"
"g__Mammaliicoccus",511.429351858868,2.57786470978976,0.317570126789491,8.11746600932195,4.76018066889987e-16,1.4925469710228e-14,"UP","compost"
"g__Nosocomiicoccus",88.3963134297565,2.97774142990615,0.429626118879837,6.93100651717827,4.17856798516241e-12,7.88653996422885e-11,"UP","compost"
"g__Staphylococcus",28129.1289039435,-2.44523798285479,0.325831708572937,-7.50460412083384,6.16145202621302e-14,1.55730453896783e-12,"DOWN","compost"
"g__Kroppenstedtia",277.03613474868,3.12772329609069,0.30676293346339,10.1958970752376,2.06826176618424e-24,1.60828034938486e-22,"UP","compost"
"g__Novibacillus",17925.5388844189,6.62737465557874,0.436180683753916,15.1941039629297,3.86918050786727e-52,8.3574298969933e-50,"UP","compost"
"g__Polycladomyces",143.986438374434,2.74007033339626,0.298109493645617,9.19148967678825,3.87438131664114e-20,1.98205191567115e-18,"UP","compost"
"g__Thermoactinomyces",763.347783962369,3.67818568429289,0.365448888801655,10.0648429835265,7.90133109800169e-24,5.48578130518403e-22,"UP","compost"
"g__Globicatella",69.0586096482284,2.39312013933729,0.407765775340521,5.86885973286705,4.38802462150417e-09,4.90248268057708e-08,"UP","compost"
"g__Ignavigranum",13.9097891006525,2.02212278181744,0.410120942117771,4.93055236676201,8.19974316368332e-07,5.83893798908438e-06,"UP","compost"
"g__Carnobacterium",517.694008521008,-2.50565587131121,0.353219460058532,-7.09376507991944,1.30511604145068e-12,2.61561400472177e-11,"DOWN","compost"
"g__Desemzia",114.335386683271,3.8903883582818,0.394915011514301,9.85120404353358,6.77276920825784e-23,4.54009080719077e-21,"UP","compost"
"g__Tetragenococcus",106.052529644175,2.0370681736972,0.306079429797445,6.65535797373014,2.8261134619063e-11,4.6559021779202e-10,"UP","compost"
"g__Bombilactobacillus",27.1991076670205,2.13489766035972,0.336888085512331,6.33711238886059,2.34111225171866e-10,3.20501564601484e-09,"UP","compost"
"g__Companilactobacillus",104.762627251943,2.56966757056066,0.302589609580148,8.4922531679992,2.02668921642073e-17,7.57669968600364e-16,"UP","compost"
"g__Fructobacillus",4.88046892562362,2.1101548993638,0.351297443489105,6.00674709842927,1.89282413137805e-09,2.23009097660541e-08,"UP","compost"
"g__Lacticaseibacillus",148.80654390954,2.53149565295569,0.261808789813592,9.66925386560976,4.07336944719517e-22,2.55439684043465e-20,"UP","compost"
"g__Lactiplantibacillus",335.414506546265,3.79381202598155,0.294365553781426,12.8880977317018,5.2523418986458e-38,6.80703510064495e-36,"UP","compost"
"g__Lactobacillus",777.415310876536,3.37939159450045,0.275605599079787,12.2616942681274,1.45427060911347e-34,1.66300121418623e-32,"UP","compost"
"g__Lapidilactobacillus",14.3682816466692,2.72817786269159,0.421814308749603,6.46772242216917,9.94910367394117e-11,1.48777365708782e-09,"UP","compost"
"g__Latilactobacillus",79.3680038618209,2.66597138025406,0.319486532016412,8.34455012368754,7.14854826751023e-17,2.43803119860349e-15,"UP","compost"
"g__Lentilactobacillus",110.543941206111,2.82105499631025,0.30974158938474,9.10776948589273,8.40930067900429e-20,3.71538193636008e-18,"UP","compost"
"g__Levilactobacillus",112.485579772266,2.92594949291107,0.29024811728681,10.0808560629518,6.71386014013106e-24,4.83397930089437e-22,"UP","compost"
"g__Ligilactobacillus",548.362450282381,3.5941974557492,0.306999063864632,11.7075192689644,1.16642587506974e-31,1.19343784270293e-29,"UP","compost"
"g__Limosilactobacillus",896.16223398446,4.29888956083892,0.299892729568459,14.3347575215477,1.32709248153364e-46,2.34533434918308e-44,"UP","compost"
