	reference	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII	XIII	MHET_I	MHET_II
SRR11582156	1000.0	0.30249593054801954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4105301914580265	0.0
SRR5397294	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6311220	1000.0	0.0	14.245947273620434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6660644	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10310285	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR24033832	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22870125	1000.0	0.0	19.48825731630652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5528782677581199	0.0
SRR12921519	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22870120	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.975126419679462	0.0	0.0	0.0	3.2891420506099402	0.0
SRR22870114	1000.0	0.0	1.7452752744422881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.675582733666397	0.0	0.0	0.0	2.148870181657067	0.0
ERR3365596	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR7464854	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11582142	1000.0	0.680947652149241	6.567515426820091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8482864844050826	0.0
SRR11271801	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8231046931407944	0.0	0.0	0.0	1.9568333266976723	0.0
SRR14209494	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10312501	1000.0	0.0	0.15393122037317375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10312499	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22870121	1000.0	0.0	0.768880609290067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR7464846	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11451424																
SRR10312491	1000.0	0.0	3.688583724883728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12921520	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11451427	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22541073	1000.0	0.0	0.6341495031390768	0.0	0.0	0.0	0.19102056898837635	0.0	0.0	0.0	6.493203407460204	0.0	0.0	0.0	0.22308473592571093	0.0
SRR1971621	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22870126	1000.0	0.33787697416689194	28.67666501558595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5884690633406702	0.0	0.0	0.0	0.0	0.0
SRR22870111	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22870109	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17677321824787262	0.0
SRR10312492	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11451422																
SRR5581523	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR14209496	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0582162653605889	0.0
SRR22870112	1000.0	0.3425946841352308	24.451173903255558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.339341666359032	0.0	0.0	0.0	2.2093461531408694	0.0
SRR22541067	1000.0	0.0	0.1778246789942064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.060277075119124	0.0	0.0	0.0	0.43823019939334595	0.0
SRR12921522	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11582165	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3953868469508088	0.0
