	reference	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII	XIII	MHET_I	MHET_II
SRR17041402	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5626780	1000.0	0.0	13.995649021029733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR3597767	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.675070028011204	0.0
SRR7904192	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2670999008701399	0.0
SRR7778157	1000.0	0.0	8.570989078603292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7229437229437232	0.0	0.0	0.0	2.153679653679654	0.0
SRR7976144	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.596340379224378	0.0
SRR17041390	1000.0	0.0	0.7755031760926119	0.0	0.0	0.475931855732849	0.0	0.0	0.0	0.0	10.303300512497094	0.0	0.0	0.0	0.9582650369165753	0.0
SRR5626791	1000.0	8.36643495531281	16.13830092902979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21373926	1000.0	0.0	1.054359286513984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3377278316442256	0.0	0.0	0.0	0.6490899357601714	0.0
SRR9312625	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.6885286421710255	0.0	0.0	0.0	0.2651222651222651	0.0
SRR8127602	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR7976242	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.894080996884735	0.0
SRR7142031	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.879482657260435	0.0
SRR10586128	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR14301321	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.754512681169327	0.0	0.0	0.0	4.814723637208533	0.0
SRR5626797	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.704851752021565	0.0
SRR17041392	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.63748482672804	0.0	0.0	0.0	0.0	0.0
