	reference	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII	XIII	MHET_I	MHET_II
SRR18502802	1000	0	0	0	0	0	0	0	0	0	103.4202555	0	0	0	0.015707909	0
ERR5002005	1000	0	0	0	0	0	0	0	0	0	62.0334562	0	0	0	0	0
ERR5002009	1000	0	0	0	0	0	0	0	0	0	53.3428165	0	0	0	0	0
ERR5002002	1000	0	0	0	0	0	0	0	0	0	40.38590203	0	0	0	0	0
SRR12893484	1000	0	0	0	0	0	0	0	0	0	36.70899651	0	0	0	0	0
ERR5002003	1000	0	0	0	0	0	0	0	0	0	31.42911826	0	0	0	0	0
SRR18502801	1000	0.089631981	0.06915767	0	0	0	0	0	0	0	22.94535335	0	0	0	0.036493021	0
SRR12893483	1000	0	3.206949	0	0	0	0	0	0	0	16.62549876	0	0	0	0	0
ERR5002007	1000	0	0	0	0	0	0	0	0	0	7.326314027	0	0	0	1.982029598	0
ERR5004404	1000	0	0	0	0	0	0	0	0	0	6.18556701	0	0	0	2.65095729	0
SRR12068624	1000	0	0.845486872	0	0	0	0	0	0	0	1.619342217	0	0	0	0	0
SRR23985295	1000	0	2.166387019	0	0	0	0	0	0	0	1.511506276	0	0	0	0.891173684	0
SRR15039771	1000	0	0	0	0	0	0	0	0	0	1.407683907	0	0	0	0.011736271	0
SRR23337892	1000	0	0.474695622	0	0	0	0	0.404827003	0	0	1.295836788	0	0	0	2.218895287	0
SRR10072863	1000	0	0.301653672	0	0	0	0	0	0	0	0.907797789	0	0	0	0	0
SRR10156269	1000	0	1.15565775	0	0	0	0	0	0	0	0.813087774	0	0	0	0	0
SRR23985293	1000	0	2.370506817	0	0	0.207828146	0	0	0	0	0.620584509	0	0	0	1.430415491	0
SRR10156267	1000	0	1.632328058	0	0	0	0	0	0	0	0.574229692	0	0	0	0.328131253	0
SRR23985278	1000	0	3.952356479	0	0	0	0	0	0	0	0.463460849	0	0	0	1.589543525	0
SRR23985294	1000	0	2.354341386	0	0	0	0.797830137	0	0	0	0.383311174	0	0	0	0.62116775	0
SRR10072857	1000	0	0.354805804	0.385629266	0	0	0	0	0	0	0.358252126	0	0	0	0.249967355	0.25324907
SRR23986797	1000	0	2.540410302	0	0	0.103937867	0	0	0	0	0.223919834	0	0	0	1.076668673	0
SRR10072860	1000	0	0.245503919	0	0	0	0	0	0	0	0.223908667	0	0	0	0.086364771	0
SRR10072859	1000	0	0.268975166	0	0	0	0	0	0	0	0.220783782	0	0	0	0	0
SRR10072858	1000	0	0	0	0	0	0	0	0	0	0.164653405	0	0	0	0.084678894	0
SRR23985142	1000	0	1.954123888	0	0	0	0	0	0	0	0.159338744	0	0	0	0.429645542	0
SRR10072862	1000	0	0.300050908	0.428333542	0	0	0	0	0	0	0.147775072	0	0	0	0	0.428333542
SRR21856589	1000	0	0	0	0	0	0	0.093622849	0	0	0.065926089	0	0	0	0.197778268	0
