	reference	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII	XIII	MHET_I	MHET_II
SRR21860276	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.14964261968085	0.0	0.0	0.0	1.8582589285714286	0.0
SRR4142460	1000.0	0.0	16.558009875493653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.63718240546189	0.0	0.0	0.0	2.329948532480178	0.0
SRR8543664	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6988749	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.025927393970484	0.0
SRR6056326	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR4141180	1000.0	0.13958236401136107	15.212352057481835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.688450339310496	0.0	0.0	0.08287702863174562	2.7033137049966363	0.0
SRR21860285	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19098192658841062	0.0
SRR10916587	1000.0	0.0	3.470019035532995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.797149122807018	0.0	0.0	0.0	0.0	0.0
SRR10143418	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.704301075268817	0.0	0.0	0.0	0.0	0.0
SRR6987322	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.51328903654485	0.0
SRR21860280	1000.0	0.0	0.1519732306634734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18711704025440162	0.0	0.0	0.0	2.123493545823355	0.0
SRR21860267	1000.0	0.0	0.1919994813520504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3197019935322772	0.0	0.0	0.0	5.008715691311968	0.0
SRR6987549	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.327645051194539	0.0
ERR4179835	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8543660	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21860266	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32040941033508424	0.0	0.0	0.0	2.4516091705558294	0.0
SRR6987546	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.925324675324675	0.0
SRR21860279	1000.0	0.0	0.07243934402282617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05946062821873649	0.0	0.0	0.0	4.061099762556651	0.0
ERR4179825	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6987550	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1901226480502114	0.0
SRR8543669	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR4142417	1000.0	0.0	15.249117192672701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.947319825268346	0.0	0.0	0.0	6.339770962732919	0.0
SRR10145194	1000.0	0.0	3.0318255054486234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21860275	1000.0	0.0	2.3665797777472903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.478146968096251	0.0	0.0	0.0	3.0922504136789852	0.0
SRR6987781	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6056324	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6987320	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.424889543446243	0.0
SRR6987551	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1432860470113613	0.0
ERR4179833	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6987786	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.332552693208431	0.0
SRR8543790	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.218202922768989	0.0
SRR10917427	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6056339	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8543778	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6987439	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.501419110690634	0.0
SRR8543792	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.259316770186335	0.0
SRR8543657	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8543672	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR21860283	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09825809902555875	0.0	0.0	0.0	4.7108265664758395	0.0
SRR6988750	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.168052552802261	0.0
SRR6987410	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.214992927864214	0.0
SRR6987783	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.589285714285714	0.0
SRR15809224	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR7974395	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.191790617848973	0.0	0.0	0.0	0.0	0.0
SRR8543667	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6987775	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9061351248573963	0.0
SRR11108969	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0964962665134976	0.0
SRR15809223	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR4140277	1000.0	0.0452707004667539	3.1436709765745854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.683109145317914	0.0	0.0	0.05375895680427026	11.650724342523516	0.0
SRR15809226	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.516031913292187	0.0	0.0	0.0	0.0	0.0
SRR8543784	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6987407	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.434523809523809	0.0
