	reference	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII	XIII	MHET_I	MHET_II
SRR19161323	1000.0	0.0	2.3341387183295277	0.0	0.0	0.0	0.0	0.15115888478333891	0.0	0.0	6.6632096069869	0.0	0.0	0.0	2.506381900952897	0.0
SRR19161318	1000.0	0.0	7.36757776013042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.341127364887399	0.0	0.0	0.0	1.482894751427972	0.0
SRR19161316	1000.0	0.0	3.3627230761067577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.54091777755827	0.0	0.0	0.0	2.7308831532788265	0.0
SRR23651775	1000.0	0.1943695761632556	22.745515884011436	0.0	0.0	0.07669827512153389	0.0	0.0	0.0	0.0	4.738451197380875	0.0	0.0	0.0	2.256804835859255	0.0
SRR15646761	1000.0	1.3662265954057977	14.494485199990443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.076693714259037	0.0	0.0	0.8111970410221924	0.9320755947113161	0.0
SRR22703648	1000.0	1.207286508955315	5.12330721566824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.016334123494781	0.0	0.0	0.28673054587688734	0.6556772104539706	0.0
SRR17012561	1000.0	0.0	0.36181394165839753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.56796459734231	0.0	0.0	3.7866090331686664	10.0572537011191	0.0
SRR14458744	1000.0	0.0	10.001586294416242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.758616477798334	0.0	0.0	8.9990234375	1.662547831632653	0.0
SRR17036902	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.432351719123298	0.0	0.0	0.0	2.6187508347059603	0.0
SRR23026122	1000.0	0.4314737499589072	14.148834643322541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4715284398274466	0.0	0.0	0.0	5.567134600569437	0.0
SRR16915456	1000.0	0.032104113159811404	5.139917406398232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3972026084538363	0.0	0.0	0.03812363437727605	2.2935595650315075	0.0
SRR22703643	1000.0	2.818398505443535	17.396815140199692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.462901261294194	0.0	0.0	0.0	2.681598834462466	0.0
SRR5278468	1000.0	0.0	7.7687044802471865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7750126512239417	0.0
SRR15646754	1000.0	0.0	9.679785702598007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5473716889107954	0.0	0.0	0.0	2.2738083084668017	0.0
SRR15947148	1000.0	0.0	14.274726965082293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.766973836089651	0.0	0.0	0.0	2.094605972523387	0.0
SRR17036901	1000.0	0.18729255571360837	0.36127498056432067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.113926426426426	0.0	0.0	0.0	2.2883293013454593	0.0
SRR22703645	1000.0	0.4809754304270572	4.174964396092729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.389840908992909	0.0	0.0	0.0	1.8407987680522113	0.0
SRR22703654	1000.0	1.5549566093060447	7.998423168004021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3883053754311225	0.0	0.0	0.0	1.2329016588383988	0.0
SRR17710023	1000.0	0.47442550037064496	5.033245156216486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.635532493204844	0.0	0.0	0.28169014084507044	3.2193158953722327	0.0
SRR14458710	1000.0	1.1135377895352059	13.961615939857653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.767489510976676	0.0	0.0	0.6611630625365283	2.6487219894384646	0.0
SRR19161320	1000.0	0.0	7.179553613129106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.632303559435863	0.0	0.0	0.29466084620550703	2.021438398128982	0.0
SRR22703652	1000.0	1.308336921599152	7.066347637469531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.044598698610284	0.0	0.0	0.0	0.8878000539422817	0.0
SRR16915478	1000.0	0.0	3.475507485984615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1203471663276536	0.0	0.0	0.0	3.303822519704111	0.0
SRR15947147	1000.0	0.7947414227474692	21.4620526346017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.842292306047973	0.0	0.0	0.0	2.6964441128931984	0.0
SRR16915452	1000.0	0.039394307620544626	6.307088641380596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6227171880696005	0.0	0.0	0.09356148059879348	2.4602893396701826	0.0
SRR23651774	1000.0	0.12157505696659814	12.077278501707235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.354603298131145	0.0	0.0	0.07218519007391763	2.834817916244736	0.0
SRR23345824	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR16915459	1000.0	0.0	3.1466048866936926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2453893681079777	0.0	0.0	0.0	3.675147559889322	0.0
SRR20079015	1000.0	0.0	4.497367047772665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4614485981308411	0.0	0.0	0.0	1.8500550105107227	0.0
SRR16915477	1000.0	0.04532516271733415	5.245754872869131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.669141630027797	0.0	0.0	0.0	2.4195947728612013	0.0
SRR16915473	1000.0	0.08469327800039171	4.655980714437778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.803241258720043	0.0	0.0	0.0	3.568819351355242	0.0
SRR16915470	1000.0	0.0	5.714360909428859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351027756757241	0.0	0.0	0.0	2.9888670898864382	0.0
SRR16915472	1000.0	0.03409833748520345	5.590742643513052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6400348256773511	0.0	0.0	0.08098355152735819	3.6390675661503775	0.0
SRR14458750	1000.0	1.304617336274128	5.5363456503815796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.468408853240764	0.0	0.0	4.957545877841687	2.3036249664477237	0.0
SRR17710033	1000.0	0.0	11.361805577263885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.734214010411372	0.0	0.0	0.0	5.774127486441457	0.0
SRR23026120	1000.0	0.3869491855409176	10.698392033398637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4460485877521485	0.0	0.0	0.0	6.156416409260731	0.0
SRR15646762	1000.0	1.3603134487847077	11.807796941227664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.820477431903216	0.0	0.0	0.0	0.9267985783806171	0.0
SRR16915458	1000.0	0.042960206777061374	4.143370196772417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7863199347647865	0.0	0.0	0.0	3.917819104154105	0.0
SRR22703647	1000.0	0.290278169422927	9.518766367878722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.240726950692837	0.0	0.0	0.0	1.6060567947675333	0.0
SRR14458743	1000.0	0.0	12.574345392707786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.380987079193668	0.0	0.0	4.926142697881828	3.621372772883194	0.0
SRR14458749	1000.0	0.0	13.116695697175038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.393063698230012	0.0	0.0	3.1057560725282243	3.551347236152817	0.0
SRR14458754	1000.0	1.7841213202497768	5.735753821445983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.49574032766497	0.0	0.0	9.180790960451978	0.8092760276066728	0.0
SRR15646753	1000.0	0.0	0.5904452463253219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2783593663454083	0.0	0.0	0.0	2.4925224327018944	0.0
SRR17710028	1000.0	0.0	14.811843303041057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7063936436836773	0.0	0.0	0.911854103343465	4.869770208400408	0.0
SRR16915471	1000.0	0.0	4.317919872109694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.288323981250313	0.0	0.0	0.04027605183738683	4.194298626559331	0.0
SRR17710030	1000.0	0.0	10.6895300760729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.469438340892702	0.0	0.0	0.0	4.515546812330494	0.0
SRR16915463	1000.0	0.025039180479299216	5.167985168976172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2335122681565167	0.0	0.0	0.059468053638335634	3.2198794112573554	0.0
SRR16915480	1000.0	0.0	9.755948842243257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.406419043443377	0.0	0.0	0.16087516087516088	2.554755476750127	0.0
SRR16798123	1000.0	0.0	4.337285881455506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1979239996135105	0.0	0.0	0.0	1.6989804254246363	0.0
SRR19161325	1000.0	0.0	2.996984284563658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0061736024058803	0.0	0.0	0.0	6.52211376505334	0.0
SRR17710020	1000.0	0.0	13.75470771246111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1779298799672318	0.0	0.0	0.0	3.285271657745162	0.0
SRR20079013	1000.0	0.0	5.4064556869793305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2822966507177034	0.0	0.0	0.0	2.446781225955373	0.0
SRR14458756	1000.0	1.0937838423218542	17.93361325228218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.66402281511191	0.0	0.0	11.689814814814817	0.3711052322163434	0.0
SRR22703646	1000.0	1.7602534765006161	6.366398994957812	0.0	0.0	0.2604736452765709	0.0	0.0	0.0	0.0	7.364775967665121	0.0	0.0	0.0	1.7949032467805395	0.0
SRR17710021	1000.0	0.0	7.47990550248297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3063846008050812	0.0	0.0	0.0	7.017651083341481	0.0
SRR16915464	1000.0	0.07973279596337844	4.152581150173924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6299118522303375	0.0	0.0	0.03156089840217064	3.4198272817151363	0.0
SRR15646756	1000.0	1.4964488416090314	15.587375751176307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.173082846916245	0.0	0.0	0.0	2.0341763741908045	0.0
SRR14458712	1000.0	1.6849053326385273	16.25035600006701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.82746928539008	0.0	0.0	16.00660066006601	0.0	0.0
SRR16915460	1000.0	0.0	4.24900889584535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.800750412859721	0.0	0.0	0.023148638066414103	2.2692291378167497	0.0
SRR17710026	1000.0	0.21285608387165098	11.496389504539929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.503793567732555	0.0	0.0	0.505533199195171	4.622017821212991	0.0
SRR23345827	1000.0	0.0	75.80372250423014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR16798125	1000.0	0.0	3.59498042484779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39345063538611924	0.0	0.0	0.0	1.8483227646660785	0.0
SRR23345822	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR20079021	1000.0	0.0	1.67115790353241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.823045267489712	0.0	0.0	0.0	0.29394473838918284	0.0
SRR15646758	1000.0	0.0	12.095664641520088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.326560041600423	0.0	0.0	0.0	5.372078423488373	0.0
SRR16915451	1000.0	0.13348387347953525	3.261433389246174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1158412048805861	0.0	0.0	0.0	3.878313521258637	0.0
SRR14458747	1000.0	0.0	13.945445417526633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.12482989896723	0.0	0.0	1.7170329670329667	3.9272890484739666	0.0
SRR14458755	1000.0	0.0	6.070557219337903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.455079768641834	0.0	0.0	9.342966970387241	0.3559225512528473	0.0
SRR5278471	1000.0	0.0	0.6030304186863097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.795178278381992	0.0
SRR19161330	1000.0	0.0	10.178146961250626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.675717924965262	0.0	0.0	0.16934923575729505	1.2877565818733379	0.0
SRR23725312	1000.0	0.0	1.2206514103019324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.011708195737016	0.0	0.0	0.0	1.2889913560499249	0.0
SRR17710024	1000.0	0.24884907303720297	8.160228486397619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3018539255941275	0.0	0.0	0.0	3.8865515010516725	0.0
SRR14458733	1000.0	0.49188391539596665	7.59049290763319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.499053801102505	0.0	0.0	11.098130841121495	0.0	0.0
SRR15646752	1000.0	0.0	8.033945880717217	0.0	0.0	0.704355735870624	0.0	0.0	0.0	0.0	2.6912918047630052	0.0	0.0	0.0	3.2299741602067176	0.0
SRR15646759	1000.0	0.0	20.966104470280005	0.0	0.0	0.0	0.0	0.3702996755105936	0.0	0.0	9.617041240124587	0.0	0.0	0.0	3.1302360406721323	0.0
SRR23345826	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR17036903	1000.0	0.0	2.790549339569989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.704952006980802	0.0	0.0	0.0	1.965994435410341	0.0
SRR15646751	1000.0	0.30893778421256557	19.665379766627265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.40252535129787	0.0	0.0	0.0	2.7297889990369977	0.0
SRR16915453	1000.0	0.0	4.758951530289881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9536175189901304	0.0	0.0	0.0	4.6075557413984995	0.0
SRR23345828	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19161321	1000.0	0.0	4.699584679280111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2028787878787885	0.0	0.0	0.0	1.2195877730886708	0.0
SRR16915466	1000.0	0.0	6.578424927378786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7502127422543143	0.0	0.0	0.0	2.654710551307459	0.0
SRR23026119	1000.0	0.0	18.758278040773906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5152154175559653	0.0	0.0	0.3121098626716604	5.532165326811605	0.0
SRR14458753	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.880294818138264	0.0	0.0	15.452436194895592	0.0	0.0
SRR22703655	1000.0	1.7060529400876168	10.812837343267416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.920467614940414	0.0	0.0	0.0	1.3257337153513076	0.0
SRR19161329	1000.0	0.0	5.486676155295394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0577390599675844	0.0	0.0	0.0	0.7132906746233812	0.0
SRR17036900	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.878658564585614	0.0	0.0	0.0	11.645819008832706	0.0
SRR23651779	1000.0	0.0	19.712827240061593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.652978215419215	0.0	0.0	0.15361657303370785	3.280189154666566	0.0
SRR16798124	1000.0	0.0	8.460236886632826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.209795321637427	0.0	0.0	0.0	3.279419936735915	0.0
