	reference	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII	XIII	MHET_I	MHET_II
SRR23952767	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10968151	1000.0	0.0	0.8840815259930959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.356398667125609	0.0	0.0	0.0	4.200691744884037	0.0
SRR23952761	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR14454007	1000.0	0.0	0.8031702694463957	0.0	0.0	0.1643037830539356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4487131667288327	0.0
SRR15677241	1000.0	0.7225995631489184	0.0	0.0	0.0	0.28513793769116197	0.0	0.2707966804700089	0.0	0.0	0.28602899374644686	0.0	0.0	0.0	1.1441159749857874	0.0
SRR13961592	1000.0	0.0	0.6200388375975198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29082774049217003	0.0	0.0	0.0	1.5958414610538452	0.0
SRR20746681	1000.0	0.0	46.32904819691813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.315351436403022	0.0	0.0	0.25240106456838696	0.434241174948638	0.0
SRR23315089	1000.0	0.0	1.1850521372297127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1109603906673902	0.0	0.0	0.0	1.2506532376835002	0.0
SRR12418379	1000.0	0.0	1.1559204594618695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5692908262849707	0.0	0.0	0.0	6.738908192018297	0.0
SRR9691024	1000.0	0.19626989551801582	1.8929583831686805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45282268751656507	0.0	0.0	0.0	1.0661824710298677	0.0
SRR5198900	1000.0	0.0	0.1851871300946019	0.0	0.0	0.03788355620834535	0.0	0.0	0.0	0.0	0.28457268436097327	0.0	0.0	0.0	0.6769812176107477	0.0
SRR10968168	1000.0	0.0	1.4210370035207782	0.0	0.0	0.34884023637830947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0997811380819738	0.0
SRR20746685	1000.0	0.0	7.991711109683223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9442965561503518	0.0	0.0	0.0	1.125960454009539	0.0
SRR5209942	1000.0	0.0	2.4001632224340166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44586261673526395	0.0	0.0	0.0	0.0	0.0
SRR11837390	1000.0	0.0	1.5660050457460715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09640718562874252	0.0	0.0	0.0	1.5175663036583924	0.0
SRR23315084	1000.0	0.0	1.1162701181225492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1966758834493785	0.0	0.0	0.0	2.1608408523755633	0.0
SRR6056296	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02039189426189	0.0	0.0	0.0	0.0	0.0
SRR14454002	1000.0	0.0	1.502499627578717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1321394761754497	0.0	0.0	0.0	3.1714825056206317	0.0
SRR9691030	1000.0	0.0	0.7600844877832652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8023132114302992	0.0	0.0	0.0	0.1336934322261636	0.0
SRR9691032	1000.0	0.0	1.807099370587289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.756496974012104	0.0	0.0	0.0	0.7823868605599112	0.0
SRR7497722	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.165748237198422	0.0
SRR11837301	1000.0	0.23077699730279386	1.335460796574543	0.0	0.0	0.13659697659666925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58026449723902	0.0
SRR20746677	1000.0	0.0	1.023706325572523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.982112636069974	0.0	0.0	0.0	1.4405010438413361	0.0
SRR14454013	1000.0	0.0	0.2912606517319147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5379220161673799	0.0	0.0	0.0	1.0540713256577163	0.0
SRR23315088	1000.0	0.0	13.508198649547705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.711561087265523	0.0	0.0	0.0	1.8115011758710478	0.0
SRR21120498	1000.0	0.0	0.862773104571949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1416385846672283	0.0	0.0	0.0	0.0	0.0
SRR10968162	1000.0	0.0	0.9974207249439482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11341812	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR7497680	1000.0	0.0	0.4988837476147121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4309633442744496	0.0
SRR15532678	1000.0	0.03632502640897107	1.436405866628856	0.07511000849306876	0.0	0.06450238334303275	0.0	0.0	0.0	0.0	0.09058553460737159	0.0	0.0	0.0	0.7301214446860542	0.05001271751959784
SRR9691052	1000.0	0.0	1.6424064232557942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.447252103318742	0.0	0.0	0.0	1.8785471031216334	0.0
SRR5124970	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9723855643952496	0.0	0.0	0.0	0.3275250778277412	0.0
SRR21120503	1000.0	0.0	10.895922920236671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.646301832835046	0.0
SRR7498049	1000.0	0.0	0.5800446604334406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4294589965607307	0.0
SRR9691020	1000.0	0.1234986097585073	10.719930085636925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.744976514654439	0.0	0.0	0.0	0.922731629862117	0.0
SRR5198901	1000.0	0.0	0.18880443636481334	0.0	0.0	0.057935317700729315	0.2559252795679006	0.0	0.0	0.0	0.20759635867798273	0.0	0.0	0.0	0.8695582138434443	0.0
SRR9691022	1000.0	0.0	1.1778220175549632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4833977863715162	0.0	0.0	0.0	0.6913121458855025	0.0
SRR6047969	1000.0	0.0	1.3456370083101314	0.0	0.0	0.0	0.17371591784868673	0.0	0.0	0.0	2.6900365070797814	0.0	0.0	0.0	3.789434331547571	0.0
SRR20746676	1000.0	0.0	5.632399797978387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0091788911379953	0.0	0.0	0.0	1.8833950769069392	0.0
SRR5209946	1000.0	0.0	1.6096993327572693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR10968271	1000.0	0.0	0.6132678757258725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.334030366213339	0.0	0.0	0.0	4.6389668551905885	0.0
SRR14454017	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17207779418123806	0.0	0.0	0.0	3.290801321508931	0.0
SRR5210469	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR19666941	1000.0	0.0	37.065321014829124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6886751498206831	0.0	0.0	0.32366437233693873	1.4816008508514187	0.0
