	reference	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII	XIII	MHET_I	MHET_II
SRR23913138	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.03443284003869	0.0	0.0	0.0	0.0	0.0
SRR6484323	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.305426243618155	0.0	0.0	0.0	0.05020578172261615	0.0
SRR6689521	1000.0	0.0	4.667716902969834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2675736961451247	0.0
SRR7082979	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.419042991184064	0.0	0.0	0.0	0.0	0.0
SRR17204929	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2442556434966665	0.0	0.0	0.0	2.088247359245205	0.0
SRR19039920	1000.0	0.0	2.046668085149498	0.0	0.0	0.0	0.0	0.19881341852783588	0.0	0.0	4.4967708692889925	0.0	0.0	0.0	0.6347049976568347	0.0
SRR17204938	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.812112797223781	0.0	0.0	0.0	0.0	0.0
SRR17204928	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.328240055267587	0.0	0.0	0.0	0.0	0.0
SRR7082969	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR1346533	1000.0	0.0	30.83995785844268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR1346532	1000.0	0.0	26.711787930062037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR22315509	1000.0	0.0	0.0741857811383848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05295144523283262	0.0	0.0	0.0	0.1833852912060807	0.0
SRR9166116	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9954648526077094	0.0
SRR9166107	1000.0	1.3329968338457303	12.856314641151712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.598294242957902	0.0	0.0	0.0	0.9045335658238883	0.0
SRR9016295	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82578976479823	0.0
SRR10363849	1000.0	0.18319660798230253	25.796314240756708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.220970396849413	0.0	0.0	0.21754597197898423	2.504668078514644	0.0
ERR1346485	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR8449814	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20344059827546368	0.0	0.0	0.0	0.022100424328147097	0.0
SRR9166124	1000.0	0.0	7.463022652847207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.889211304560513	0.0	0.0	0.0	0.0	0.0
SRR9166125	1000.0	0.0	6.262656900966161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.173747045633597	0.0	0.0	0.0	1.1015566156163694	0.0
SRR7082976	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.708149049093322	0.0	0.0	0.0	0.0	0.0
SRR21842150	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
