#                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3247_length_4343_cov_1.558824_2 -            125 Ribosom_S12_S23      PF00164.20   122   2.3e-56  185.8   1.8   1   1   1.1e-59   2.6e-56  185.6   1.8     2   122     3   123     2   123 0.99 # 2457 # 2831 # 1 # ID=162_2;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.592
NODE_3247_length_4343_cov_1.558824_3 -            158 Ribosomal_S7         PF00177.16   148     7e-64  211.2   3.9   1   1   3.4e-67   7.8e-64  211.0   3.9     1   148     1   150     1   150 0.98 # 2882 # 3355 # 1 # ID=162_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.561
NODE_660_length_13708_cov_1.547971_6 -            276 Ribosomal_L2         PF00181.18    77   4.8e-34  113.5   1.0   1   2   8.6e-37     2e-33  111.5   0.3     1    77    42   118    42   118 0.99 # 2150 # 2977 # 1 # ID=44_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.636
NODE_660_length_13708_cov_1.547971_6 -            276 Ribosomal_L2         PF00181.18    77   4.8e-34  113.5   1.0   2   2     0.087     2e+02   -0.6   0.0    36    54   140   158   134   164 0.84 # 2150 # 2977 # 1 # ID=44_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.636
NODE_660_length_13708_cov_1.547971_9 -            226 Ribosomal_S3_C       PF00189.15    85   3.6e-35  117.4   1.1   1   1   2.3e-38   5.2e-35  116.9   0.2     2    85   120   202   119   202 0.97 # 3631 # 4308 # 1 # ID=44_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NODE_660_length_13708_cov_1.547971_7 -             91 Ribosomal_S19        PF00203.16    81   5.5e-39  129.0   0.1   1   1   2.7e-42   6.1e-39  128.8   0.1     1    81     3    83     3    83 0.99 # 2996 # 3268 # 1 # ID=44_7;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.571
NODE_660_length_13708_cov_1.547971_8 -            111 Ribosomal_L22        PF00237.14   105   9.2e-41  135.4   1.4   1   1     9e-44     1e-40  135.2   1.4     1   104     5   108     5   109 0.98 # 3281 # 3613 # 1 # ID=44_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.580
NODE_777_length_12442_cov_1.661632_8 -            127 Ribosomal_L22        PF00237.14   105     0.022   12.0   2.3   1   2    0.0063       7.1    4.0   0.2    15    41     7    33     4    65 0.76 # 5591 # 5971 # 1 # ID=53_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.585
NODE_777_length_12442_cov_1.661632_8 -            127 Ribosomal_L22        PF00237.14   105     0.022   12.0   2.3   2   2   0.00028      0.31    8.3   0.1    13    55    74   124    70   126 0.87 # 5591 # 5971 # 1 # ID=53_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.585
NODE_660_length_13708_cov_1.547971_13 -            123 Ribosomal_L14        PF00238.14   122   1.2e-54  180.5   0.1   1   1     6e-58   1.4e-54  180.4   0.1     1   122     1   122     1   122 0.99 # 5259 # 5627 # 1 # ID=44_13;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.572
NODE_660_length_13708_cov_1.547971_10 -            138 Ribosomal_L16        PF00252.13   133     8e-54  178.3   1.0   1   1   3.9e-57   8.9e-54  178.1   1.0     1   132     4   132     4   133 0.99 # 4321 # 4734 # 1 # ID=44_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
